
       Target
                ecliptic
RA      Dec     latitude
188.174   9.203  11.686

Checked interval [2019-04-01, 2019-09-01]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End          RA             Dec
 2019-05-08      2019-07-01        54.00     125.58098     112.55069     188.17387       9.20258 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2019-05-09   118.35 132.73   118.32 132.71   255.84 270.22   117.78 132.16   123.37 137.75   117.10 131.48
2019-05-10   118.08 132.24   118.05 132.21   255.57 269.73   117.51 131.67   123.10 137.25   116.83 130.99
2019-05-11   117.82 131.76   117.79 131.73   255.31 269.25   117.25 131.19   122.83 136.78   116.57 130.51
2019-05-12   117.56 131.30   117.54 131.27   255.05 268.78   116.99 130.73   122.58 136.31   116.31 130.05
2019-05-13   117.31 130.85   117.29 130.82   254.80 268.34   116.74 130.28   122.33 135.87   116.06 129.60
2019-05-14   117.07 130.42   117.04 130.39   254.55 267.90   116.50 129.85   122.08 135.43   115.82 129.17
2019-05-15   116.83 130.00   116.80 129.97   254.31 267.49   116.26 129.43   121.84 135.01   115.58 128.75
2019-05-16   116.59 129.59   116.56 129.56   254.08 267.08   116.02 129.02   121.61 134.61   115.34 128.34
2019-05-17   116.36 129.20   116.33 129.17   253.85 266.68   115.79 128.63   121.38 134.21   115.11 127.95
2019-05-18   116.13 128.81   116.11 128.79   253.62 266.30   115.56 128.24   121.15 133.83   114.88 127.56
2019-05-19   115.91 128.44   115.88 128.41   253.40 265.93   115.34 127.87   120.93 133.46   114.66 127.19
2019-05-20   115.69 128.08   115.66 128.05   253.18 265.57   115.12 127.51   120.71 133.09   114.44 126.83
2019-05-21   115.48 127.73   115.45 127.70   252.96 265.21   114.91 127.16   120.49 132.74   114.22 126.48
2019-05-22   115.26 127.38   115.24 127.36   252.75 264.87   114.69 126.81   120.28 132.40   114.01 126.13
2019-05-23   115.05 127.05   115.03 127.02   252.54 264.54   114.48 126.48   120.07 132.07   113.80 125.80
2019-05-24   114.85 126.72   114.82 126.70   252.33 264.21   114.28 126.15   119.86 131.74   113.59 125.47
2019-05-25   114.64 126.41   114.61 126.38   252.13 263.89   114.07 125.84   119.66 131.42   113.39 125.16
2019-05-26   114.44 126.10   114.41 126.07   251.93 263.58   113.87 125.53   119.45 131.11   113.19 124.85
2019-05-27   114.24 125.79   114.21 125.77   251.73 263.28   113.67 125.22   119.25 130.81   112.99 124.54
2019-05-28   114.04 125.50   114.01 125.47   251.53 262.98   113.47 124.93   119.06 130.51   112.79 124.25
2019-05-29   113.84 125.21   113.82 125.18   251.33 262.69   113.27 124.64   118.86 130.22   112.59 123.96
2019-05-30   113.65 124.92   113.62 124.90   251.14 262.41   113.08 124.35   118.66 129.94   112.40 123.67
2019-05-31   113.46 124.65   113.43 124.62   250.94 262.13   112.89 124.08   118.47 129.66   112.21 123.40
2019-06-01   113.26 124.37   113.24 124.35   250.75 261.86   112.69 123.80   118.28 129.39   112.01 123.12
2019-06-02   113.07 124.11   113.05 124.08   250.56 261.59   112.50 123.54   118.09 129.12   111.82 122.86
2019-06-03   112.88 123.85   112.86 123.82   250.37 261.33   112.31 123.28   117.90 128.86   111.63 122.59
2019-06-04   112.70 123.59   112.67 123.56   250.18 261.08   112.13 123.02   117.71 128.60   111.45 122.34
2019-06-05   112.51 123.34   112.48 123.31   250.00 260.82   111.94 122.77   117.52 128.35   111.26 122.09
2019-06-06   112.32 123.09   112.30 123.06   249.81 260.58   111.75 122.52   117.34 128.10   111.07 121.84
2019-06-07   112.14 122.84   112.11 122.82   249.62 260.33   111.57 122.27   117.15 127.86   110.89 121.59
2019-06-08   111.95 122.61   111.92 122.58   249.44 260.09   111.38 122.04   116.97 127.62   110.70 121.35
2019-06-09   111.77 122.37   111.74 122.34   249.25 259.86   111.20 121.80   116.78 127.38   110.52 121.12
2019-06-10   111.58 122.14   111.56 122.11   249.07 259.62   111.01 121.57   116.60 127.15   110.33 120.89
2019-06-11   111.40 121.91   111.37 121.88   248.88 259.40   110.83 121.34   116.41 126.92   110.15 120.66
2019-06-12   111.21 121.68   111.19 121.66   248.70 259.17   110.64 121.11   116.23 126.70   109.96 120.43
2019-06-13   111.03 121.46   111.00 121.43   248.52 258.95   110.46 120.89   116.04 126.48   109.78 120.21
2019-06-14   110.84 121.24   110.82 121.22   248.33 258.73   110.27 120.67   115.86 126.26   109.59 119.99
2019-06-15   110.66 121.03   110.63 121.00   248.15 258.51   110.09 120.46   115.68 126.04   109.41 119.77
2019-06-16   110.48 120.81   110.45 120.79   247.96 258.30   109.91 120.24   115.49 125.83   109.23 119.56
2019-06-17   110.29 120.60   110.26 120.57   247.78 258.09   109.72 120.03   115.31 125.62   109.04 119.35
2019-06-18   110.11 120.39   110.08 120.37   247.59 257.88   109.54 119.82   115.12 125.41   108.85 119.14
2019-06-19   109.92 120.19   109.89 120.16   247.41 257.67   109.35 119.62   114.93 125.20   108.67 118.93
2019-06-20   109.73 119.98   109.71 119.95   247.22 257.47   109.16 119.41   114.75 125.00   108.48 118.73
2019-06-21   109.55 119.78   109.52 119.75   247.03 257.27   108.98 119.21   114.56 124.79   108.29 118.53
2019-06-22   109.36 119.58   109.33 119.55   246.84 257.07   108.79 119.01   114.37 124.59   108.11 118.33
2019-06-23   109.17 119.38   109.14 119.35   246.66 256.87   108.60 118.81   114.18 124.39   107.92 118.13
2019-06-24   108.98 119.18   108.95 119.16   246.47 256.67   108.41 118.61   113.99 124.20   107.73 117.93
2019-06-25   108.79 118.99   108.76 118.96   246.27 256.48   108.22 118.42   113.80 124.00   107.54 117.74
2019-06-26   108.59 118.79   108.57 118.77   246.08 256.28   108.02 118.22   113.61 123.81   107.34 117.54
2019-06-27   108.40 118.60   108.37 118.57   245.89 256.09   107.83 118.03   113.42 123.62   107.15 117.35
2019-06-28   108.20 118.41   108.18 118.38   245.69 255.90   107.63 117.84   113.22 123.43   106.95 117.16
2019-06-29   108.24 117.99   108.21 117.96   245.73 255.48   107.67 117.42   113.25 123.00   106.99 116.74
2019-06-30   108.63 117.21   108.60 117.18   246.12 254.70   108.06 116.64   113.64 122.23   107.38 115.96
2019-07-01   109.02 116.43   108.99 116.41   246.51 253.92   108.45 115.86   114.03 121.45   107.77 115.18
