
       Target
                ecliptic
RA      Dec     latitude
350.859  -0.991   2.712

Checked interval [2019-04-01, 2019-09-01]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End          RA             Dec
 2019-06-07      2019-07-29        52.07     247.07033     244.13606     350.85904      -0.99081 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2019-06-08   243.24 250.90   243.21 250.87    20.72  28.38   242.67 250.33   248.25 255.91   241.98 249.65
2019-06-09   242.59 251.45   242.57 251.42    20.08  28.94   242.02 250.88   247.61 256.46   241.34 250.20
2019-06-10   241.95 252.00   241.92 251.98    19.44  29.49   241.38 251.43   246.96 257.02   240.70 250.75
2019-06-11   241.83 252.03   241.80 252.01    19.31  29.52   241.26 251.46   246.84 257.05   240.58 250.78
2019-06-12   241.78 251.98   241.76 251.96    19.27  29.47   241.21 251.41   246.80 257.00   240.53 250.73
2019-06-13   241.74 251.94   241.71 251.91    19.23  29.43   241.17 251.37   246.75 256.95   240.49 250.69
2019-06-14   241.69 251.90   241.67 251.87    19.18  29.38   241.12 251.33   246.71 256.91   240.44 250.64
2019-06-15   241.65 251.85   241.62 251.83    19.13  29.34   241.08 251.28   246.66 256.87   240.39 250.60
2019-06-16   241.60 251.81   241.57 251.78    19.08  29.30   241.03 251.24   246.61 256.83   240.35 250.56
2019-06-17   241.55 251.77   241.52 251.74    19.03  29.26   240.98 251.20   246.56 256.79   240.29 250.52
2019-06-18   241.49 251.73   241.47 251.71    18.98  29.22   240.92 251.16   246.51 256.75   240.24 250.48
2019-06-19   241.44 251.69   241.41 251.67    18.93  29.18   240.87 251.12   246.45 256.71   240.19 250.44
2019-06-20   241.38 251.66   241.36 251.63    18.87  29.15   240.81 251.09   246.40 256.67   240.13 250.41
2019-06-21   241.33 251.62   241.30 251.60    18.81  29.11   240.76 251.05   246.34 256.64   240.08 250.37
2019-06-22   241.27 251.59   241.24 251.56    18.76  29.08   240.70 251.02   246.28 256.61   240.02 250.34
2019-06-23   241.21 251.56   241.18 251.53    18.69  29.05   240.64 250.99   246.22 256.57   239.96 250.31
2019-06-24   241.15 251.53   241.12 251.50    18.63  29.01   240.58 250.96   246.16 256.54   239.89 250.28
2019-06-25   241.08 251.50   241.05 251.47    18.57  28.99   240.51 250.93   246.10 256.51   239.83 250.25
2019-06-26   241.02 251.47   240.99 251.44    18.50  28.96   240.45 250.90   246.03 256.48   239.76 250.22
2019-06-27   240.95 251.44   240.92 251.42    18.43  28.93   240.38 250.87   245.96 256.46   239.70 250.19
2019-06-28   240.88 251.42   240.85 251.39    18.36  28.90   240.31 250.85   245.89 256.43   239.63 250.17
2019-06-29   240.81 251.39   240.78 251.36    18.29  28.88   240.24 250.82   245.82 256.41   239.55 250.14
2019-06-30   240.73 251.37   240.70 251.34    18.22  28.86   240.16 250.80   245.75 256.38   239.48 250.12
2019-07-01   240.65 251.35   240.63 251.32    18.14  28.83   240.08 250.78   245.67 256.36   239.40 250.09
2019-07-02   240.58 251.32   240.55 251.30    18.06  28.81   240.01 250.75   245.59 256.34   239.33 250.07
2019-07-03   240.50 251.30   240.47 251.28    17.98  28.79   239.93 250.73   245.51 256.32   239.24 250.05
2019-07-04   240.41 251.29   240.39 251.26    17.90  28.77   239.84 250.72   245.43 256.30   239.16 250.04
2019-07-05   240.33 251.27   240.30 251.24    17.81  28.76   239.76 250.70   245.34 256.28   239.07 250.02
2019-07-06   240.24 251.25   240.21 251.23    17.72  28.74   239.67 250.68   245.25 256.27   238.99 250.00
2019-07-07   240.15 251.24   240.12 251.21    17.63  28.73   239.58 250.67   245.16 256.25   238.89 249.99
2019-07-08   240.05 251.23   240.02 251.20    17.54  28.71   239.48 250.66   245.07 256.24   238.80 249.97
2019-07-09   239.95 251.21   239.93 251.19    17.44  28.70   239.38 250.64   244.97 256.23   238.70 249.96
2019-07-10   239.85 251.20   239.83 251.18    17.34  28.69   239.28 250.63   244.87 256.22   238.60 249.95
2019-07-11   239.75 251.19   239.72 251.17    17.24  28.68   239.18 250.62   244.77 256.21   238.50 249.94
2019-07-12   239.64 251.19   239.62 251.16    17.13  28.67   239.07 250.62   244.66 256.20   238.39 249.94
2019-07-13   239.53 251.18   239.51 251.15    17.02  28.67   238.96 250.61   244.55 256.20   238.28 249.93
2019-07-14   239.42 251.18   239.39 251.15    16.91  28.66   238.85 250.61   244.43 256.19   238.17 249.93
2019-07-15   239.30 251.17   239.27 251.15    16.79  28.66   238.73 250.60   244.32 256.19   238.05 249.92
2019-07-16   239.18 251.17   239.15 251.15    16.67  28.66   238.61 250.60   244.19 256.19   237.93 249.92
2019-07-17   239.05 251.17   239.03 251.15    16.54  28.66   238.48 250.60   244.07 256.19   237.80 249.92
2019-07-18   238.92 251.17   238.90 251.15    16.41  28.66   238.35 250.60   243.94 256.19   237.67 249.92
2019-07-19   238.79 251.18   238.76 251.15    16.27  28.67   238.22 250.61   243.80 256.19   237.54 249.93
2019-07-20   238.65 251.18   238.62 251.16    16.13  28.67   238.08 250.61   243.66 256.20   237.40 249.93
2019-07-21   238.50 251.19   238.47 251.16    15.99  28.68   237.93 250.62   243.52 256.21   237.25 249.94
2019-07-22   238.35 251.20   238.32 251.17    15.84  28.69   237.78 250.63   243.37 256.22   237.10 249.95
2019-07-23   238.19 251.21   238.17 251.19    15.68  28.70   237.62 250.64   243.21 256.23   236.94 249.96
2019-07-24   238.03 251.23   238.00 251.20    15.52  28.71   237.46 250.66   243.05 256.24   236.78 249.97
2019-07-25   237.86 251.24   237.84 251.22    15.35  28.73   237.29 250.67   242.88 256.26   236.61 249.99
2019-07-26   237.69 251.26   237.66 251.23    15.17  28.75   237.12 250.69   242.70 256.28   236.44 250.01
2019-07-27   237.50 251.28   237.48 251.25    14.99  28.77   236.93 250.71   242.52 256.30   236.25 250.03
2019-07-28   237.31 251.30   237.29 251.28    14.80  28.79   236.74 250.73   242.33 256.32   236.06 250.05
2019-07-29   237.11 251.33   237.09 251.30    14.60  28.82   236.54 250.76   242.13 256.35   235.86 250.08
