# Groups	Integreations	Total_exp_TIME	SNR	
50	   	2  		   4778		72.32		
40	  	2		   ????		??	
30	   	2		   ????		??
20	   	2		   1911.20    		
10	   	2		   ????		??
 5	   	2		   ????		??
