# Wavelength	exptime		snr
5.32  		1433.40		24.50			
 6.0   		1433.40		33.86		
 6.9   		1433.40		40.66		
8.20  		1433.40		50.43		
9.20   		1433.40		58.46		
10.7   		1433.40		64.74		
12.0   		1433.40		58.16		
14.1  		1433.40		70.01		
16.9  		1433.40		65.47		
18.5   		1433.40		21.17		
22.8   		1433.40		11.02		
26.5   		1433.40		4.94 	
