# Wavelength	exptime		snr
5.32  		2150.10		38.91		
6.00  		2150.10		51.66	
 6.9   		2150.10		60.84	
8.2   		2150.10		71.42	
 9.2   		2150.10		81.79	
10.7   		2150.10		90.29	
12.0  		2150.10		80.02	
14.1   		2150.10		94.35	
16.9   		2150.10		87.00	
18.5   		2150.10		29.47	
22.8   		2150.10		14.73	
26.5   		2150.10		6.54 
