# Wavelength	exptime		snr
5.32  		2102.32		43.74			
 6.0   		2102.32		56.60	
 6.9   		2102.32		65.91	
8.2  		2102.32		75.21	
9.2   		2102.32		85.66	
10.7   		2102.32		94.42	
12.0   		2102.32		83.19	
14.1  		2102.32		97.28	
16.9   		2102.32		89.21	
18.5   		2102.32		30.79	
22.8   		2102.32		15.14	
26.5   		2102.32		6.70 
