# Wavelength	exptime		snr
5.32  		4300.10		54.96 			
6.00   		4300.10		72.91 		
 6.9   		4300.10		85.82 		
8.20  		4300.10		100.49		
9.20   		4300.10		114.95		
10.7   		4300.10		126.78		
12.0   		4300.10		112.19		
14.1  		4300.10		131.76		
16.9   		4300.10		121.21		
18.5   		4300.10		41.43 		
22.8   		4300.10		20.61 		
26.5   		4300.10		9.13  
