#log-wave log-lamF_lam
-0.656	-1.114
-0.604	-1.086
-0.577	-1.044
-0.504	-0.792
-0.442	-0.651
-0.387	-0.433
-0.328	-0.179
-0.261	-0.005
-0.172	0.170
-0.104	0.282
-0.051	0.284
0.031	0.276
0.099	0.347
0.157	0.437
0.219	0.513
0.277	0.480
0.364	0.459
0.473	0.493
0.563	0.537
0.664	0.546
0.773	0.592
0.889	0.631
0.988	0.648
1.087	0.805
1.166	0.954
1.275	1.032
