#ID                             RA                DEC
UVUDF_577                53.1723041 -27.81965606
UVUDF_578                53.1604960 -27.81974271
UVUDF_585                53.1616675 -27.81960058
UVUDF_587                53.1743214 -27.81955872
UVUDF_589                53.1703838 -27.81959060
UVUDF_591                53.1622715 -27.81951917
UVUDF_594                53.1581388 -27.81951919
UVUDF_595                53.1710701 -27.81954996
UVUDF_596                53.1584656 -27.81946674
UVUDF_599                53.1689942 -27.81949087
UVUDF_601                53.1589905 -27.81947098
UVUDF_603                53.1576554 -27.81943264
UVUDF_604                53.1560506 -27.81941463
UVUDF_606                53.1559712 -27.81937714
UVUDF_607                53.1690076 -27.81937666
UVUDF_609                53.1746574 -27.81930291
UVUDF_611                53.1686676 -27.81929503
UVUDF_612                53.1712040 -27.81934863
UVUDF_613                53.1684791 -27.81933961
UVUDF_617                53.1687332 -27.81875272
UVUDF_618                53.1748708 -27.81919369
UVUDF_619                53.1704562 -27.81922790
UVUDF_620                53.1737639 -27.81915354
UVUDF_621                53.1716796 -27.81921220
UVUDF_623                53.1682193 -27.81915184
UVUDF_627                53.1635944 -27.81907699
UVUDF_630                53.1721799 -27.81906616
UVUDF_631                53.1677478 -27.81902811
UVUDF_632                53.1728484 -27.81879284
UVUDF_635                53.1627055 -27.81896833
UVUDF_636                53.1691887 -27.81897521
UVUDF_640                53.1673416 -27.81891965
UVUDF_641                53.1610840 -27.81889249
UVUDF_642                53.1772509 -27.81889806
UVUDF_644                53.1758079 -27.81891217
UVUDF_646                53.1622949 -27.81886888
UVUDF_648                53.1600303 -27.81877601
UVUDF_660                53.1556902 -27.81870438
UVUDF_661                53.1663738 -27.81869680
UVUDF_662                53.1749693 -27.81873740
UVUDF_665                53.1580179 -27.81859817
UVUDF_667                53.1710191 -27.81863159
UVUDF_669                53.1750846 -27.81861490
UVUDF_671                53.1688626 -27.81859202
UVUDF_674                53.1551353 -27.81858806
UVUDF_675                53.1684255 -27.81848175
UVUDF_676                53.1677779 -27.81854093
UVUDF_677                53.1734245 -27.81857146
UVUDF_680                53.1672542 -27.81848362
UVUDF_682                53.1574228 -27.81840859
UVUDF_685                53.1603433 -27.81851474
UVUDF_687                53.1706203 -27.81843618
UVUDF_688                53.1750687 -27.81843118
UVUDF_693                53.1610288 -27.81835661
UVUDF_696                53.1690759 -27.81831033
UVUDF_698                53.1622033 -27.81837969
UVUDF_699                53.1570375 -27.81832682
UVUDF_700                53.1710723 -27.81831247
UVUDF_702                53.1708635 -27.81828646
UVUDF_704                53.1670161 -27.81780233
UVUDF_711                53.1615376 -27.81829481
UVUDF_712                53.1622564 -27.81829705
UVUDF_719                53.1574480 -27.81823645
UVUDF_720                53.1742540 -27.81819348
UVUDF_722                53.1733831 -27.81812170
UVUDF_723                53.1633588 -27.81816496
UVUDF_724                53.1598775 -27.81816344
UVUDF_728                53.1693268 -27.81805586
UVUDF_730                53.1549762 -27.81802538
UVUDF_737                53.1703434 -27.81790850
UVUDF_741                53.1771283 -27.81787890
UVUDF_744                53.1758866 -27.81784196
UVUDF_745                53.1635446 -27.81789924
UVUDF_747                53.1689574 -27.81785515
UVUDF_748                53.1548527 -27.81783815
UVUDF_750                53.1594320 -27.81781103
UVUDF_751                53.1752762 -27.81777851
UVUDF_754                53.1750485 -27.81775759
UVUDF_756                53.1666457 -27.81772955
UVUDF_760                53.1643207 -27.81767558
UVUDF_761                53.1646981 -27.81769515
UVUDF_762                53.1573860 -27.81771506
UVUDF_764                53.1698727 -27.81770576
UVUDF_767                53.1753933 -27.81765796
UVUDF_770                53.1555389 -27.81767430
UVUDF_771                53.1626549 -27.81758089
UVUDF_773                53.1564856 -27.81765865
UVUDF_774                53.1637065 -27.81753633
UVUDF_775                53.1716242 -27.81759105
UVUDF_777                53.1749420 -27.81738576
UVUDF_784                53.1711869 -27.81748845
UVUDF_785                53.1774967 -27.81756915
UVUDF_786                53.1744869 -27.81751963
UVUDF_789                53.1777857 -27.81745747
UVUDF_791                53.1606392 -27.81749445
UVUDF_795                53.1605440 -27.81750188
UVUDF_796                53.1719817 -27.81740417
UVUDF_799                53.1660384 -27.81739249
UVUDF_801                53.1603903 -27.81735936
UVUDF_802                53.1605043 -27.81739685
UVUDF_805                53.1586385 -27.81728317
UVUDF_807                53.1689308 -27.81732250
UVUDF_808                53.1713122 -27.81741260
UVUDF_809                53.1769373 -27.81739376
UVUDF_811                53.1720897 -27.81730368
UVUDF_812                53.1661230 -27.81726328
UVUDF_815                53.1732387 -27.81730238
UVUDF_820                53.1711009 -27.81720974
UVUDF_821                53.1687015 -27.81717716
UVUDF_822                53.1543170 -27.81718184
UVUDF_826                53.1573461 -27.81706216
UVUDF_827                53.1696899 -27.81714018
UVUDF_828                53.1703931 -27.81705161
UVUDF_829                53.1636398 -27.81713464
UVUDF_831                53.1558619 -27.81712061
UVUDF_836                53.1616898 -27.81708928
UVUDF_842                53.1686531 -27.81701767
UVUDF_845                53.1579616 -27.81699873
UVUDF_847                53.1578345 -27.81695163
UVUDF_849                53.1779911 -27.81693292
UVUDF_850                53.1543485 -27.81690682
UVUDF_852                53.1663660 -27.81681474
UVUDF_854                53.1637515 -27.81684543
UVUDF_855                53.1550168 -27.81688518
UVUDF_858                53.1696346 -27.81683570
UVUDF_859                53.1705736 -27.81678596
UVUDF_860                53.1559916 -27.81655611
UVUDF_861                53.1572087 -27.81672337
UVUDF_863                53.1657986 -27.81672726
UVUDF_866                53.1563685 -27.81671897
UVUDF_868                53.1785663 -27.81670051
UVUDF_871                53.1597251 -27.81673914
UVUDF_872                53.1600063 -27.81673993
UVUDF_875                53.1519334 -27.81670784
UVUDF_876                53.1612128 -27.81665149
UVUDF_878                53.1656359 -27.81661097
UVUDF_879                53.1613975 -27.81665119
UVUDF_880                53.1699419 -27.81664965
UVUDF_882                53.1628237 -27.81655699
UVUDF_883                53.1764578 -27.81663156
UVUDF_885                53.1761869 -27.81651501
UVUDF_886                53.1599469 -27.81659373
UVUDF_890                53.1592790 -27.81658289
UVUDF_891                53.1654618 -27.81656306
UVUDF_892                53.1644537 -27.81648660
UVUDF_893                53.1716806 -27.81653293
UVUDF_894                53.1600639 -27.81645990
UVUDF_896                53.1560284 -27.81646043
UVUDF_897                53.1571009 -27.81645633
UVUDF_898                53.1652496 -27.81645504
UVUDF_899                53.1627248 -27.81640082
UVUDF_900                53.1747540 -27.81638186
UVUDF_904                53.1681921 -27.81647395
UVUDF_909                53.1639237 -27.81634026
UVUDF_910                53.1719253 -27.81635359
UVUDF_911                53.1641408 -27.81639186
UVUDF_919                53.1668133 -27.81628623
UVUDF_921                53.1789208 -27.81628553
UVUDF_923                53.1758394 -27.81625887
UVUDF_926                53.1571765 -27.81620285
UVUDF_927                53.1559350 -27.81617346
UVUDF_928                53.1538746 -27.81623080
UVUDF_930                53.1770371 -27.81621890
UVUDF_931                53.1537728 -27.81621045
UVUDF_935                53.1740039 -27.81616855
UVUDF_936                53.1519121 -27.81619130
UVUDF_940                53.1569439 -27.81614133
UVUDF_942                53.1597538 -27.81611059
UVUDF_943                53.1549178 -27.81578786
UVUDF_945                53.1798121 -27.81593030
UVUDF_946                53.1675298 -27.81607434
UVUDF_948                53.1696000 -27.81607152
UVUDF_951                53.1709556 -27.81604223
UVUDF_952                53.1754911 -27.81601892
UVUDF_954                53.1625832 -27.81598349
UVUDF_955                53.1603288 -27.81595846
UVUDF_958                53.1800373 -27.81594144
UVUDF_959                53.1696068 -27.81596007
UVUDF_961                53.1644662 -27.81565447
UVUDF_964                53.1551472 -27.81588610
UVUDF_965                53.1606363 -27.81592133
UVUDF_967                53.1755934 -27.81579243
UVUDF_971                53.1552825 -27.81580040
UVUDF_972                53.1745573 -27.81576211
UVUDF_973                53.1619990 -27.81578660
UVUDF_975                53.1641067 -27.81582014
UVUDF_977                53.1782762 -27.81564833
UVUDF_978                53.1531849 -27.81582152
UVUDF_979                53.1648929 -27.81580350
UVUDF_984                53.1763613 -27.81574011
UVUDF_987                53.1634081 -27.81573400
UVUDF_992                53.1797171 -27.81560063
UVUDF_994                53.1777527 -27.81564073
UVUDF_995                53.1694645 -27.81554308
UVUDF_999                53.1649998 -27.81547723
UVUDF_1002               53.1659499 -27.81546639
UVUDF_1003               53.1537668 -27.81547302
UVUDF_1004               53.1733283 -27.81546638
UVUDF_1006               53.1605216 -27.81545195
UVUDF_1007               53.1604370 -27.81545615
UVUDF_1008               53.1749045 -27.81538087
UVUDF_1012               53.1587857 -27.81542930
UVUDF_1013               53.1801125 -27.81541593
UVUDF_1014               53.1536284 -27.81536702
UVUDF_1019               53.1652890 -27.81523702
UVUDF_1022               53.1551923 -27.81520593
UVUDF_1024               53.1633991 -27.81527135
UVUDF_1025               53.1513563 -27.81528933
UVUDF_1026               53.1607161 -27.81531844
UVUDF_1027               53.1580649 -27.81508495
UVUDF_1028               53.1619753 -27.81530668
UVUDF_1029               53.1654688 -27.81527892
UVUDF_1031               53.1685626 -27.81520482
UVUDF_1032               53.1763462 -27.81522320
UVUDF_1034               53.1600087 -27.81519863
UVUDF_1036               53.1636851 -27.81510877
UVUDF_1037               53.1684251 -27.81514072
UVUDF_1042               53.1624713 -27.81511736
UVUDF_1043               53.1672422 -27.81514990
UVUDF_1044               53.1514181 -27.81513981
UVUDF_1048               53.1617074 -27.81489512
UVUDF_1050               53.1616728 -27.81498143
UVUDF_1052               53.1675867 -27.81499220
UVUDF_1054               53.1513064 -27.81495765
UVUDF_1055               53.1586287 -27.81501247
UVUDF_1056               53.1533677 -27.81484113
UVUDF_1061               53.1765643 -27.81495520
UVUDF_1062               53.1760807 -27.81486133
UVUDF_1063               53.1625388 -27.81490388
UVUDF_1066               53.1667651 -27.81489849
UVUDF_1068               53.1664402 -27.81487355
UVUDF_1070               53.1775490 -27.81484303
UVUDF_1072               53.1779463 -27.81482195
UVUDF_1073               53.1753615 -27.81476141
UVUDF_1080               53.1667025 -27.81467411
UVUDF_1084               53.1552474 -27.81465776
UVUDF_1086               53.1638125 -27.81455676
UVUDF_1088               53.1601690 -27.81438520
UVUDF_1089               53.1736178 -27.81454111
UVUDF_1091               53.1593936 -27.81446081
UVUDF_1094               53.1702221 -27.81452179
UVUDF_1097               53.1545763 -27.81441684
UVUDF_1099               53.1706528 -27.81440570
UVUDF_1101               53.1704486 -27.81437850
UVUDF_1105               53.1796662 -27.81429137
UVUDF_1109               53.1820134 -27.81413352
UVUDF_1110               53.1516352 -27.81414759
UVUDF_1114               53.1522843 -27.81423603
UVUDF_1116               53.1771982 -27.81419822
UVUDF_1117               53.1548563 -27.81419734
UVUDF_1120               53.1700552 -27.81414030
UVUDF_1121               53.1618599 -27.81414496
UVUDF_1122               53.1545151 -27.81414237
UVUDF_1125               53.1627819 -27.81407045
UVUDF_1126               53.1736354 -27.81404545
UVUDF_1128               53.1517358 -27.81407913
UVUDF_1130               53.1674632 -27.81407005
UVUDF_1133               53.1706653 -27.81403067
UVUDF_1143               53.1620456 -27.81389645
UVUDF_1144               53.1678874 -27.81391082
UVUDF_1147               53.1488351 -27.81355320
UVUDF_1150               53.1514321 -27.81375903
UVUDF_1158               53.1489462 -27.81380545
UVUDF_1159               53.1816330 -27.81381788
UVUDF_1162               53.1644909 -27.81373352
UVUDF_1164               53.1546616 -27.81367984
UVUDF_1168               53.1492471 -27.81367519
UVUDF_1169               53.1666473 -27.81370990
UVUDF_1173               53.1817141 -27.81364467
UVUDF_1174               53.1585012 -27.81368289
UVUDF_1175               53.1522184 -27.81364903
UVUDF_1176               53.1751948 -27.81359418
UVUDF_1177               53.1718385 -27.81363709
UVUDF_1179               53.1494326 -27.81330635
UVUDF_1181               53.1608116 -27.81338636
UVUDF_1183               53.1493470 -27.81338588
UVUDF_1185               53.1712640 -27.81351187
UVUDF_1188               53.1749713 -27.81346111
UVUDF_1190               53.1706227 -27.81349635
UVUDF_1191               53.1760209 -27.81346696
UVUDF_1192               53.1567451 -27.81345526
UVUDF_1193               53.1666275 -27.81346071
UVUDF_1194               53.1510210 -27.81337539
