#ID                             RA                DEC
HST3D_19084              189.4030150  62.23623400
HST3D_19164              189.3868460  62.23665400
HST3D_19419              189.3861120  62.23784100
HST3D_19838              189.3716030  62.23950700
HST3D_19900              189.4515950  62.24013900
HST3D_19928              189.3728190  62.24038100
HST3D_20244              189.3675090  62.24179000
HST3D_20310              189.3643090  62.24233800
HST3D_20827              189.3693170  62.24478500
HST3D_21066              189.3539710  62.24598000
HST3D_21162              189.3777360  62.24645200
HST3D_21234              189.3768050  62.24690200
HST3D_21606              189.3649070  62.24861800
HST3D_21672              189.3620180  62.24918900
HST3D_21727              189.3524550  62.24947700
HST3D_22046              189.3717910  62.25088300
HST3D_22906              189.3464000  62.25483600
HST3D_22926              189.3285470  62.25487200
HST3D_23245              189.3282310  62.25632000
HST3D_23350              189.4094970  62.25692100
HST3D_23532              189.4699600  62.25777400
HST3D_23919              189.4291760  62.25958000
HST3D_23948              189.4183980  62.25984300
HST3D_24032              189.4813870  62.26009900
HST3D_24125              189.4551770  62.26063100
HST3D_24371              189.3320350  62.26180600
HST3D_24406              189.4034880  62.26207200
HST3D_24567              189.3930580  62.26280400
HST3D_24579              189.3422570  62.26284800
HST3D_24605              189.3340700  62.26307200
HST3D_24619              189.3372200  62.26313000
HST3D_24637              189.3261050  62.26307700
HST3D_24753              189.3154250  62.26382300
HST3D_25014              189.4321740  62.26487800
HST3D_25065              189.4364170  62.26504700
HST3D_25187              189.3959750  62.26564100
HST3D_25577              189.3322660  62.26746900
HST3D_25643              189.3154200  62.26750500
HST3D_25824              189.3013920  62.26877900
HST3D_25950              189.4731140  62.26924200
HST3D_26024              189.3965740  62.26970800
HST3D_26056              189.4188030  62.26969300
HST3D_26157              189.3672550  62.27036100
HST3D_26181              189.3754930  62.27043400
HST3D_26391              189.5141280  62.27103800
HST3D_26404              189.3818840  62.27129500
HST3D_26437              189.3758670  62.27145000
HST3D_26924              189.3013710  62.27387400
HST3D_26951              189.4849650  62.27379700
HST3D_26991              189.5032430  62.27388700
HST3D_27292              189.4742020  62.27570200
HST3D_27367              189.3743770  62.27612700
HST3D_27609              189.2962730  62.27738900
HST3D_27675              189.3094450  62.27766000
HST3D_27872              189.3834650  62.27871200
HST3D_27879              189.4854990  62.27858300
HST3D_28128              189.4695760  62.28009000
HST3D_28166              189.5083050  62.28024100
HST3D_28210              189.2924830  62.28068500
HST3D_28479              189.4450700  62.28190300
HST3D_28531              189.5217840  62.28192400
HST3D_28686              189.5035240  62.28297700
HST3D_28922              189.2829530  62.28438400
HST3D_28935              189.4111140  62.28435400
HST3D_28987              189.4469440  62.28455500
