#ID                             RA                DEC
HST3D_2673               189.2128030  62.14530500
HST3D_2685               189.2178810  62.14554800
HST3D_2696               189.2119940  62.14547200
HST3D_2906               189.2122100  62.14709000
HST3D_3013               189.2016940  62.14784200
HST3D_3512               189.1555500  62.15161500
HST3D_3646               189.2558210  62.15276300
HST3D_3649               189.1822490  62.15283600
HST3D_3885               189.1447460  62.15461900
HST3D_3904               189.1451770  62.15476900
HST3D_3915               189.2455520  62.15489000
HST3D_4147               189.1320260  62.15662400
HST3D_4150               189.1706610  62.15709800
HST3D_4159               189.1955510  62.15686600
HST3D_4187               189.2472040  62.15720600
HST3D_4197               189.1724100  62.15707300
HST3D_4205               189.1995650  62.15711400
HST3D_4391               189.2362380  62.15847600
HST3D_4395               189.1483120  62.15846600
HST3D_4458               189.1882980  62.15893500
HST3D_4517               189.2384080  62.15939200
HST3D_4592               189.2548600  62.16009700
HST3D_4636               189.1678110  62.16019100
HST3D_4669               189.2826110  62.16050200
HST3D_4673               189.1688590  62.16053500
HST3D_4715               189.2334420  62.16081100
HST3D_4729               189.2525140  62.16089000
HST3D_4741               189.2511830  62.16102300
HST3D_4904               189.2673490  62.16211500
HST3D_4977               189.1343270  62.16290500
HST3D_4990               189.1835220  62.16277400
HST3D_5078               189.1243760  62.16338600
HST3D_5108               189.1658360  62.16364500
HST3D_5217               189.2861450  62.16435000
HST3D_5232               189.1668120  62.16445100
HST3D_5291               189.1176380  62.16484100
HST3D_5364               189.2895470  62.16547300
HST3D_5372               189.2894950  62.16567400
HST3D_5495               189.2330490  62.16631600
HST3D_5526               189.2755400  62.16668900
HST3D_5594               189.2324060  62.16705200
HST3D_5599               189.2476820  62.16710100
HST3D_5690               189.2204360  62.16774100
HST3D_5719               189.2557200  62.16818600
HST3D_5775               189.1121570  62.16838800
HST3D_5778               189.2637080  62.16844500
HST3D_5804               189.2591720  62.16858200
HST3D_5862               189.2509790  62.16900500
HST3D_5942               189.1177600  62.16951300
HST3D_5975               189.2659330  62.16971900
HST3D_5984               189.2878230  62.16978000
HST3D_6012               189.2441490  62.16994100
HST3D_6027               189.2393060  62.17003800
HST3D_6042               189.2495720  62.17020000
HST3D_6133               189.1301700  62.17080000
HST3D_6234               189.1080010  62.17140900
HST3D_6240               189.2315040  62.17150100
HST3D_6248               189.2584040  62.17156400
HST3D_6280               189.2371870  62.17174300
HST3D_6310               189.2533950  62.17192200
HST3D_6324               189.2451530  62.17204900
HST3D_6347               189.2595490  62.17211100
HST3D_6381               189.2768720  62.17233200
HST3D_6405               189.2455490  62.17249700
HST3D_6505               189.2737510  62.17322300
HST3D_6513               189.2087160  62.17326500
HST3D_6597               189.2887350  62.17384100
HST3D_6637               189.1470020  62.17425600
HST3D_6671               189.2890090  62.17429300
HST3D_6675               189.2941990  62.17432300
HST3D_6870               189.2794120  62.17574500
HST3D_6885               189.2598600  62.17587300
HST3D_6888               189.2447070  62.17562100
HST3D_6895               189.2539550  62.17566400
HST3D_6958               189.1575020  62.17607400
HST3D_6961               189.2298210  62.17612500
HST3D_6975               189.2833780  62.17610600
HST3D_7006               189.2661980  62.17648800
HST3D_7008               189.1314820  62.17646400
HST3D_7011               189.1574470  62.17649800
HST3D_7042               189.2298560  62.17671600
HST3D_7097               189.2064180  62.17713900
HST3D_7117               189.1974150  62.17724700
HST3D_7185               189.2067260  62.17750900
HST3D_7280               189.2883070  62.17822700
HST3D_7282               189.2963340  62.17823900
HST3D_7294               189.2062550  62.17833900
HST3D_7311               189.2868260  62.17851900
HST3D_7313               189.3032210  62.17851300
HST3D_7427               189.2045310  62.17914900
HST3D_7429               189.2074380  62.17916800
HST3D_7434               189.2407280  62.17921600
HST3D_7504               189.2653720  62.17961100
HST3D_7523               189.2795060  62.17975700
HST3D_7615               189.3027920  62.18023200
HST3D_7625               189.1464390  62.18011800
HST3D_7657               189.2786410  62.18051200
HST3D_7722               189.2264400  62.18076700
HST3D_7731               189.0815860  62.18080900
HST3D_7773               189.0839610  62.18081800
HST3D_7830               189.1917690  62.18137600
HST3D_7859               189.2022050  62.18161800
HST3D_7860               189.1404360  62.18159500
HST3D_7868               189.2511030  62.18169500
HST3D_7882               189.1947220  62.18168300
HST3D_7927               189.2814500  62.18198700
HST3D_7975               189.2377670  62.18225600
HST3D_7980               189.2956520  62.18189200
HST3D_8049               189.2953770  62.18263700
HST3D_8083               189.2204230  62.18285100
HST3D_8108               189.0792810  62.18286000
HST3D_8189               189.1977150  62.18339400
HST3D_8265               189.2116400  62.18376200
HST3D_8329               189.1022170  62.18399800
HST3D_8425               189.1775140  62.18454900
HST3D_8426               189.2167770  62.18463600
HST3D_8451               189.1796020  62.18472900
HST3D_8505               189.1047370  62.18492500
HST3D_8506               189.1258320  62.18496900
HST3D_8527               189.1841960  62.18506000
HST3D_8564               189.1880330  62.18521500
HST3D_8628               189.2118670  62.18564100
HST3D_8654               189.2767880  62.18577200
HST3D_8669               189.2998370  62.18583200
HST3D_8676               189.2995720  62.18586300
HST3D_8677               189.2041780  62.18587100
HST3D_8689               189.3050140  62.18581200
HST3D_8690               189.2517100  62.18594300
HST3D_8692               189.2601650  62.18595400
HST3D_8744               189.1133540  62.18603100
HST3D_8810               189.1914540  62.18643500
