# NGC 346, centered at RA=14.769764, DEC=-72.176862
# ID           RA             DEC
       1    14.8607282    -72.164995
       2    14.8607125    -72.164995
       3    14.6767649    -72.162020
       4    14.8832294    -72.179475
       5    14.8606244    -72.164995
       6    14.7686634    -72.173546
       7    14.8832300    -72.179480
       8    14.7530962    -72.174493
       9    14.7246928    -72.201328
      10    14.7501398    -72.177213
      11    14.6504888    -72.187104
      12    14.7390661    -72.176022
      13    14.7748827    -72.176070
      14    14.7574977    -72.175341
      15    14.7763888    -72.165599
      16    14.7621119    -72.176371
      17    14.7780589    -72.178136
      18    14.6509020    -72.204666
      19    14.9022881    -72.172957
      20    14.7757907    -72.175987
      21    14.8765497    -72.152689
      22    14.8028980    -72.185867
      23    14.8013082    -72.185537
      24    14.8146626    -72.186590
      25    14.8275612    -72.186091
      26    14.6741575    -72.188269
      27    14.6777581    -72.212795
      28    14.8106286    -72.199952
      29    14.7665071    -72.180873
      30    14.7750162    -72.179157
      31    14.7745604    -72.180652
      32    14.7578268    -72.178706
      33    14.8033819    -72.181228
      34    14.7805093    -72.173724
      35    14.7984839    -72.165998
      36    14.8699095    -72.171262
      37    14.7452451    -72.177461
      38    14.7716634    -72.177372
      39    14.7448644    -72.180946
      40    14.6761946    -72.173459
      41    14.7763155    -72.175666
      42    14.7909445    -72.183076
      43    14.7731069    -72.134019
      44    14.7817836    -72.180102
      45    14.7699513    -72.184159
      46    14.7747920    -72.176016
      47    14.6977443    -72.210199
      48    14.7861453    -72.170603
      49    14.7539554    -72.185915
      50    14.6686518    -72.185160
      51    14.8359002    -72.166122
      52    14.7690212    -72.177184
      53    14.7578556    -72.178235
      54    14.7726592    -72.178436
      55    14.7618487    -72.177078
      56    14.7585153    -72.176752
      57    14.7839461    -72.179255
      58    14.7935861    -72.179743
      59    14.7744312    -72.174709
      60    14.7996425    -72.182176
      61    14.6913572    -72.193600
      62    14.7970314    -72.167035
      63    14.7950994    -72.175999
      64    14.6481083    -72.162452
      65    14.8279003    -72.181872
      66    14.6767207    -72.187255
      67    14.8152485    -72.149280
      68    14.7585027    -72.184021
      69    14.8114008    -72.186864
      70    14.7928407    -72.178533
      71    14.8124756    -72.193121
      72    14.7627060    -72.178935
      73    14.7038009    -72.164476
      74    14.8782635    -72.153126
      75    14.8125133    -72.193124
      76    14.7579362    -72.172636
      77    14.8671059    -72.178412
      78    14.8162375    -72.186305
      79    14.7677539    -72.174230
      80    14.7676024    -72.173742
      81    14.8123355    -72.183939
      82    14.8005340    -72.203269
      83    14.9010600    -72.171045
      84    14.7511025    -72.172911
