id_onc ra_deg dec_deg
114 83.81302525 -5.39867995
115 83.79642695 -5.41010235
116 83.85773115 -5.36717305
117 83.83796295 -5.38059545
118 83.8673221 -5.359653
119 83.81352735 -5.397137
120 83.83075035 -5.3851203
121 83.83178045 -5.38432875
122 83.8504915 -5.37120585
123 83.81225565 -5.39758635
124 83.8294577 -5.38541125
125 83.8217512 -5.3906882
126 83.82963375 -5.3850708
127 83.8404452 -5.3773062
128 83.82863055 -5.3853131
129 83.81566615 -5.39398885
130 83.8194053 -5.39135005
131 83.81073065 -5.39740785
132 83.8153098 -5.394185
133 83.79766615 -5.406462
134 83.86387415 -5.35991905
135 83.8064284 -5.3999008
136 83.80623275 -5.3991823
137 83.8534526 -5.36602205
138 83.8359749 -5.3781047
139 83.80641085 -5.39862145
140 83.81698035 -5.39104995
141 83.80787585 -5.3972153
142 83.8072299 -5.39745705
144 83.81694225 -5.39009325
145 83.8148182 -5.39155085
146 83.80545685 -5.39805665
147 83.82718555 -5.3827726
148 83.8252989 -5.38383415
149 83.8140676 -5.3916633
150 83.842671 -5.3714941
152 83.8293105 -5.380723
153 83.81653395 -5.3896351
154 83.8185903 -5.3877276
155 83.8423027 -5.3703933
156 83.792912 -5.4048077
157 83.82433995 -5.38281355
158 83.81399225 -5.39002245
159 83.8183439 -5.3864769
160 83.8139659 -5.3892612
161 83.81107235 -5.39129225
162 83.83322025 -5.3757527
163 83.80159105 -5.39767945
164 83.81278965 -5.38978075
165 83.83197275 -5.3761569
166 83.8077356 -5.3930097
167 83.8401283 -5.37017195
168 83.814738 -5.3876836
169 83.8253613 -5.3797452
170 83.84480015 -5.36601345
171 83.82974265 -5.37625525
172 83.79123685 -5.4028961
173 83.80999825 -5.3897201
174 83.85938485 -5.35521205
175 83.85303395 -5.3593941
176 83.8266467 -5.37779815
177 83.79782905 -5.39777705
178 83.82041345 -5.38194815
179 83.8386524 -5.369183
180 83.8390881 -5.3687143
181 83.8124808 -5.38728455
182 83.7907326 -5.40192675
183 83.81869975 -5.38234565
184 83.82238245 -5.37936465
185 83.7917757 -5.40052875
186 83.8189456 -5.3815597
187 83.85199135 -5.3583167
188 83.82740475 -5.3752634
189 83.79957575 -5.3943859
190 83.81913525 -5.3806389
191 83.8132251 -5.3846899
192 83.79138975 -5.3996958
194 83.80520915 -5.3896449
195 83.81168745 -5.38464915
196 83.8006141 -5.39221545
197 83.8445975 -5.36142515
198 83.81265895 -5.38359745
199 83.82395805 -5.3752676
200 83.84283985 -5.3618079
201 83.81054055 -5.38433265
202 83.8328848 -5.3686822
203 83.8442947 -5.36037955
204 83.7988358 -5.3917887
205 83.8236127 -5.37426635
206 83.83750045 -5.3645248
207 83.8204413 -5.37643775
208 83.82321785 -5.3743853
209 83.78533315 -5.40038505
210 83.84485195 -5.35848685
211 83.8495141 -5.3551588
212 83.82508225 -5.37169835
213 83.80995245 -5.38214495
214 83.82424965 -5.37209785
215 83.80191635 -5.38755375
216 83.79451675 -5.39244685
217 83.8485847 -5.3545358
218 83.810596 -5.38096335
219 83.8112206 -5.3803924
220 83.8331681 -5.36499005
221 83.82221125 -5.37253565
222 83.8525771 -5.3511782
223 83.7955936 -5.390728
224 83.8141232 -5.3777514
225 83.82594555 -5.3683824
226 83.8233824 -5.37014285
227 83.84966275 -5.35175135
228 83.81342645 -5.3769322
229 83.81791195 -5.37332035
230 83.8314215 -5.36365425
231 83.8182061 -5.3728599
232 83.8111619 -5.37725405
233 83.8213313 -5.36996345
234 83.8000386 -5.38467735
235 83.79616105 -5.3873887
236 83.80451 -5.38142355
237 83.8244816 -5.3674624
238 83.8112947 -5.3765034
239 83.83532385 -5.35938635
240 83.84731265 -5.3510098
241 83.8205357 -5.3693951
242 83.819867 -5.3698945
243 83.8098555 -5.3766846
244 83.82244725 -5.36767645
245 83.84765915 -5.34997115
247 83.8046007 -5.37974215
248 83.82981135 -5.36211165
249 83.82722215 -5.3639034
250 83.81131615 -5.3748658
251 83.8148264 -5.3722623
252 83.8098037 -5.3757609
253 83.8262116 -5.36372345
254 83.7875944 -5.39061515
255 83.8245578 -5.3648207
256 83.8173685 -5.369776
257 83.81170945 -5.3730712
258 83.808171 -5.37551915
259 83.81219215 -5.3725055
260 83.7996344 -5.3807582
261 83.79434945 -5.38427115
262 83.7858616 -5.3900768
263 83.83683625 -5.3537853
264 83.8238559 -5.36243645
265 83.8096628 -5.37231755
266 83.8251844 -5.36141185
267 83.7846994 -5.38936385
268 83.79844535 -5.37944505
269 83.7946925 -5.3817748
270 83.8008329 -5.37722645
272 83.8475566 -5.344242
273 83.80738415 -5.37149775
274 83.8166866 -5.36473265
275 83.82622485 -5.3577635
276 83.8379094 -5.34876305
277 83.83260815 -5.3522154
278 83.79665715 -5.37716485
279 83.8068728 -5.3698557
280 83.7951862 -5.3779931
281 83.7843937 -5.3854718
282 83.80762135 -5.3692006
283 83.80855755 -5.3682338
284 83.81120815 -5.3656553
285 83.82070805 -5.35816095
286 83.8193049 -5.3585882
287 83.81252625 -5.3631545
288 83.80822545 -5.3661004
289 83.8111411 -5.3637575
290 83.8375005 -5.3453341
291 83.8450812 -5.3396442
292 83.8141559 -5.3609498
293 83.77941335 -5.38513925
294 83.8344489 -5.34653145
295 83.78427985 -5.3813109
298 83.80313925 -5.366365
299 83.79460165 -5.37230025
300 83.80321855 -5.3660657
301 83.83022955 -5.34705825
302 83.82292055 -5.35171865
303 83.80548955 -5.3638666
304 83.81908845 -5.35431345
305 83.79974065 -5.36778805
306 83.8137274 -5.35800035
307 83.81595495 -5.35588215
308 83.8288184 -5.34683765
312 83.78717955 -5.374991
313 83.7837702 -5.37705905
314 83.8071693 -5.35996455
315 83.7850462 -5.375056
316 83.8320907 -5.34210605
317 83.83222465 -5.3415301
318 83.83409975 -5.3401714
319 83.80441405 -5.3608331
320 83.7996807 -5.3639242
321 83.79734025 -5.3649832
322 83.7991628 -5.36368205
323 83.8179514 -5.34967945
324 83.80351545 -5.35943915
325 83.79564575 -5.3628761
326 83.825594 -5.34151165
327 83.77730745 -5.37469485
328 83.81231045 -5.35021435
329 83.79901525 -5.3590883
331 83.81887645 -5.34455295
332 83.7792996 -5.37135635
333 83.8133236 -5.3476028
334 83.812554 -5.34793005
335 83.8141133 -5.34651255
336 83.80675825 -5.3514726
337 83.7896621 -5.3633617
338 83.79133705 -5.3620421
339 83.83168805 -5.3338361
340 83.81317995 -5.34672605
341 83.79344045 -5.3595902
342 83.7935747 -5.35904735
343 83.81713685 -5.34244205
344 83.7801279 -5.3677581
345 83.80355485 -5.35138215
347 83.8094572 -5.3468133
349 83.82268705 -5.336917
350 83.8209136 -5.3366781
351 83.80418855 -5.348
352 83.791242 -5.35624815
354 83.7941898 -5.3538383
355 83.7813039 -5.362732
356 83.799374 -5.3500861
357 83.80443245 -5.346079
358 83.8065777 -5.34423715
359 83.79699945 -5.3508351
360 83.8051946 -5.3449827
361 83.80265465 -5.3464511
362 83.8016059 -5.34665565
364 83.8089918 -5.339872
365 83.8168576 -5.333998
366 83.78005025 -5.3595661
367 83.782197 -5.3575495
368 83.7850674 -5.3555036
369 83.7993716 -5.3453678
370 83.7924549 -5.3500988
371 83.80037175 -5.3443787
372 83.78353975 -5.35491845
375 83.809033 -5.3355531
377 83.8008214 -5.3406184
378 83.8094189 -5.334344
379 83.78465255 -5.35066735
382 83.8170017 -5.3816936
383 83.80963835 -5.36785155
384 83.8028724 -5.4073356
385 83.7971318 -5.35432255
386 83.8016031 -5.35873695
387 83.8472393 -5.34667285
388 83.7837843 -5.38755145
389 83.80672225 -5.35585485
390 83.8262919 -5.4052505
391 83.8274394 -5.3632411
393 83.80877815 -5.37294725
394 83.8096411 -5.37579705
