id_onc ra_deg dec_deg
6 83.85504575 -5.4159045
8 83.84094075 -5.4245569
9 83.83869635 -5.42584905
11 83.83706565 -5.4262214
12 83.84711685 -5.4182671
14 83.8339526 -5.4260413
15 83.8464669 -5.4172871
16 83.8480499 -5.41508555
17 83.8542825 -5.41067295
18 83.842146 -5.41876925
19 83.85707155 -5.4079658
20 83.8530344 -5.41068505
21 83.84678645 -5.41467125
23 83.8415909 -5.4147974
25 83.8638512 -5.3971986
26 83.8317466 -5.41881585
27 83.8639975 -5.3959708
28 83.83197505 -5.41809435
29 83.8552911 -5.40181615
31 83.84155675 -5.40723495
32 83.82355735 -5.41961895
33 83.8263278 -5.4174012
34 83.86682545 -5.38844225
35 83.85188735 -5.39860005
36 83.84691065 -5.4020493
37 83.8434662 -5.40372985
38 83.83187735 -5.41170655
39 83.8724584 -5.3823531
40 83.8466111 -5.39952105
41 83.86338255 -5.387744
42 83.84806565 -5.39746925
43 83.8317881 -5.40875155
48 83.8464524 -5.3970069
49 83.84391725 -5.39853735
50 83.86576055 -5.3811825
52 83.8664989 -5.3796903
53 83.8179623 -5.4132889
54 83.8214018 -5.41079285
55 83.84845775 -5.391639
57 83.8213299 -5.4095431
59 83.867134 -5.37693105
60 83.83816345 -5.39663135
61 83.8182531 -5.4102962
62 83.8200414 -5.4089275
63 83.81476415 -5.41257435
64 83.86938335 -5.3737023
65 83.84724 -5.3890882
66 83.81924735 -5.40779145
67 83.83270385 -5.39764675
68 83.8279036 -5.40049335
69 83.81621035 -5.4086396
72 83.8232238 -5.40248965
73 83.8271052 -5.39936895
74 83.8496516 -5.38345725
75 83.804673 -5.41468695
76 83.85247235 -5.381112
77 83.8036993 -5.41508325
79 83.8010194 -5.4162989
80 83.7978847 -5.4182496
81 83.81627045 -5.4049497
82 83.80080865 -5.41566545
83 83.8312544 -5.3943638
84 83.86041935 -5.37395965
85 83.8602005 -5.3738263
86 83.8620398 -5.3724544
87 83.8248577 -5.3981903
88 83.7980426 -5.41663845
89 83.8385405 -5.3879933
90 83.8230884 -5.3986163
91 83.83331505 -5.39132715
92 83.8354711 -5.3897025
93 83.8437191 -5.38386365
94 83.82066425 -5.39988015
95 83.82585145 -5.3961851
96 83.8412116 -5.38535765
97 83.8207379 -5.39949905
98 83.8123684 -5.4047836
99 83.86931215 -5.36499165
100 83.80801445 -5.4070117
101 83.79815455 -5.4133497
103 83.7944434 -5.41484185
104 83.8049067 -5.4069185
105 83.8258013 -5.3920832
106 83.80050165 -5.4093756
107 83.7932112 -5.4142895
108 83.8251869 -5.39187275
109 83.82012915 -5.3950559
110 83.8338564 -5.3845731
111 83.82036545 -5.3939009
112 83.81616855 -5.396887
113 83.83754245 -5.3817403
