#ID                             RA                DEC
UVUDF_4251               53.1615473 -27.75183758
UVUDF_4258               53.1607732 -27.75218669
UVUDF_4263               53.1613848 -27.75240861
UVUDF_4267               53.1616372 -27.75252341
UVUDF_4270               53.1601932 -27.75265501
UVUDF_4273               53.1619699 -27.75270536
UVUDF_4276               53.1603209 -27.75289557
UVUDF_4278               53.1602414 -27.75299030
UVUDF_4283               53.1631876 -27.75308493
UVUDF_4296               53.1622824 -27.75355479
UVUDF_4298               53.1605250 -27.75371317
UVUDF_4302               53.1640134 -27.75391472
UVUDF_4305               53.1612090 -27.75401684
UVUDF_4311               53.1612784 -27.75422879
UVUDF_4313               53.1639782 -27.75343379
UVUDF_4315               53.1607232 -27.75449831
UVUDF_4316               53.1608781 -27.75446843
UVUDF_4318               53.1594914 -27.75462188
UVUDF_4321               53.1626967 -27.75465237
UVUDF_4322               53.1625645 -27.75469660
UVUDF_4323               53.1597178 -27.75474662
UVUDF_4324               53.1603248 -27.75351136
UVUDF_4327               53.1584555 -27.75480308
UVUDF_4328               53.1624994 -27.75481571
UVUDF_4330               53.1615712 -27.75492340
UVUDF_4331               53.1623959 -27.75495607
UVUDF_4333               53.1612013 -27.75500441
UVUDF_4337               53.1584214 -27.75528783
UVUDF_4338               53.1636039 -27.75535439
UVUDF_4339               53.1646939 -27.75598389
UVUDF_4343               53.1611569 -27.75542922
UVUDF_4346               53.1608933 -27.75545353
UVUDF_4354               53.1629295 -27.75572563
UVUDF_4357               53.1581769 -27.75576482
UVUDF_4358               53.1596078 -27.75581570
UVUDF_4361               53.1579087 -27.75586128
UVUDF_4362               53.1635823 -27.75589157
UVUDF_4363               53.1599089 -27.75604575
UVUDF_4365               53.1658861 -27.75597668
UVUDF_4370               53.1577656 -27.75642392
UVUDF_4371               53.1666077 -27.75611572
UVUDF_4372               53.1629049 -27.75613891
UVUDF_4373               53.1624104 -27.75614869
UVUDF_4374               53.1569553 -27.75618050
UVUDF_4378               53.1624290 -27.75621580
UVUDF_4379               53.1657079 -27.75624147
UVUDF_4381               53.1569384 -27.75629895
UVUDF_4385               53.1630461 -27.75643110
UVUDF_4387               53.1597909 -27.75647685
UVUDF_4388               53.1581176 -27.75649955
UVUDF_4390               53.1657235 -27.75684304
UVUDF_4392               53.1580747 -27.75658841
UVUDF_4394               53.1597273 -27.75636709
UVUDF_4395               53.1607503 -27.75666104
UVUDF_4397               53.1584790 -27.75671203
UVUDF_4399               53.1662133 -27.75676538
UVUDF_4400               53.1565300 -27.75677502
UVUDF_4403               53.1665030 -27.75688965
UVUDF_4405               53.1648970 -27.75710579
UVUDF_4407               53.1603218 -27.75703001
UVUDF_4410               53.1592355 -27.75724760
UVUDF_4411               53.1572367 -27.75708756
UVUDF_4412               53.1644505 -27.75715710
UVUDF_4414               53.1653382 -27.75718004
UVUDF_4417               53.1634376 -27.75728478
UVUDF_4419               53.1572667 -27.75731429
UVUDF_4422               53.1575291 -27.75738282
UVUDF_4424               53.1557951 -27.75739368
UVUDF_4427               53.1634426 -27.75744853
UVUDF_4428               53.1605506 -27.75748813
UVUDF_4458               53.1359069 -27.78642766
UVUDF_4470               53.1255288 -27.78647849
UVUDF_4490               53.1277777 -27.78648453
UVUDF_4494               53.1278143 -27.78659263
UVUDF_4503               53.1337177 -27.78661164
UVUDF_4505               53.1286552 -27.78661891
UVUDF_4510               53.1255679 -27.78667662
UVUDF_4523               53.1251646 -27.78673295
UVUDF_4529               53.1494593 -27.78517830
UVUDF_4533               53.1335638 -27.78678772
UVUDF_4547               53.1238567 -27.78684267
UVUDF_4551               53.1308325 -27.78697567
UVUDF_4552               53.1308240 -27.78714814
UVUDF_4555               53.1291334 -27.78686644
UVUDF_4567               53.1287024 -27.78690427
UVUDF_4568               53.1304622 -27.78691064
UVUDF_4585               53.1357909 -27.78698021
UVUDF_4609               53.1343532 -27.78713012
UVUDF_4613               53.1262986 -27.78715526
UVUDF_4614               53.1400936 -27.78715401
UVUDF_4616               53.1366195 -27.78707747
UVUDF_4620               53.1366811 -27.78724082
UVUDF_4622               53.1434239 -27.78726209
UVUDF_4628               53.1246852 -27.78727541
UVUDF_4629               53.1453661 -27.78728019
UVUDF_4647               53.1394067 -27.78734869
UVUDF_4660               53.1375635 -27.78745031
UVUDF_4666               53.1248521 -27.78743308
UVUDF_4668               53.1281321 -27.78744084
UVUDF_4674               53.1246195 -27.78748843
UVUDF_4687               53.1439212 -27.78597756
UVUDF_4695               53.1291367 -27.78761175
UVUDF_4699               53.1273917 -27.78765743
UVUDF_4705               53.1247400 -27.78757536
UVUDF_4725               53.1437091 -27.78775380
UVUDF_4734               53.1253873 -27.78821312
UVUDF_4743               53.1283308 -27.78786296
UVUDF_4744               53.1349161 -27.78785279
UVUDF_4755               53.1281309 -27.78791370
UVUDF_4768               53.1363551 -27.78796318
UVUDF_4772               53.1371615 -27.78799068
UVUDF_4773               53.1367974 -27.78798328
UVUDF_4774               53.1393466 -27.78800083
UVUDF_4781               53.1359803 -27.78801979
UVUDF_4796               53.1350768 -27.78806875
UVUDF_4808               53.1425083 -27.78810559
UVUDF_4812               53.1298626 -27.78813309
UVUDF_4828               53.1378659 -27.78818034
UVUDF_4835               53.1310974 -27.78820790
UVUDF_4836               53.1309462 -27.78822513
UVUDF_4837               53.1332710 -27.78822989
UVUDF_4844               53.1292696 -27.78831398
UVUDF_4848               53.1232865 -27.78834570
UVUDF_4865               53.1264155 -27.78848477
UVUDF_4882               53.1408179 -27.78853171
UVUDF_4886               53.1275969 -27.78856852
UVUDF_4887               53.1366979 -27.78855708
UVUDF_4890               53.1257318 -27.78854960
UVUDF_4892               53.1281676 -27.78761192
