#ID                             RA                DEC
HST3D_3646               189.2558210  62.15276300
HST3D_3915               189.2455520  62.15489000
HST3D_3920               189.2754530  62.15492000
HST3D_4101               189.2944250  62.15649100
HST3D_4110               189.2824230  62.15637800
HST3D_4150               189.1706610  62.15709800
HST3D_4159               189.1955510  62.15686600
HST3D_4187               189.2472040  62.15720600
HST3D_4197               189.1724100  62.15707300
HST3D_4205               189.1995650  62.15711400
HST3D_4391               189.2362380  62.15847600
HST3D_4458               189.1882980  62.15893500
HST3D_4517               189.2384080  62.15939200
HST3D_4540               189.2946440  62.15963900
HST3D_4592               189.2548600  62.16009700
HST3D_4631               189.3035150  62.16051600
HST3D_4636               189.1678110  62.16019100
HST3D_4669               189.2826110  62.16050200
HST3D_4673               189.1688590  62.16053500
HST3D_4715               189.2334420  62.16081100
HST3D_4729               189.2525140  62.16089000
HST3D_4741               189.2511830  62.16102300
HST3D_4893               189.2906380  62.16203100
HST3D_4904               189.2673490  62.16211500
HST3D_4990               189.1835220  62.16277400
HST3D_5108               189.1658360  62.16364500
HST3D_5217               189.2861450  62.16435000
HST3D_5232               189.1668120  62.16445100
HST3D_5279               189.3139310  62.16473100
HST3D_5364               189.2895470  62.16547300
HST3D_5372               189.2894950  62.16567400
HST3D_5393               189.2939420  62.16559300
HST3D_5495               189.2330490  62.16631600
HST3D_5500               189.3105780  62.16631100
HST3D_5526               189.2755400  62.16668900
HST3D_5594               189.2324060  62.16705200
HST3D_5599               189.2476820  62.16710100
HST3D_5653               189.2996640  62.16746100
HST3D_5690               189.2204360  62.16774100
HST3D_5718               189.3252490  62.16791200
HST3D_5719               189.2557200  62.16818600
HST3D_5757               189.2986310  62.16833500
HST3D_5778               189.2637080  62.16844500
HST3D_5797               189.3025940  62.16852300
HST3D_5804               189.2591720  62.16858200
HST3D_5862               189.2509790  62.16900500
HST3D_5975               189.2659330  62.16971900
HST3D_5984               189.2878230  62.16978000
HST3D_5985               189.3172210  62.16977500
HST3D_6012               189.2441490  62.16994100
HST3D_6027               189.2393060  62.17003800
HST3D_6042               189.2495720  62.17020000
HST3D_6097               189.3286830  62.17050200
HST3D_6240               189.2315040  62.17150100
HST3D_6248               189.2584040  62.17156400
HST3D_6280               189.2371870  62.17174300
HST3D_6288               189.3147440  62.17176200
HST3D_6310               189.2533950  62.17192200
HST3D_6324               189.2451530  62.17204900
