#ID                             RA                DEC
UVUDF_833                53.1474737 -27.81704916
UVUDF_956                53.1468163 -27.81595462
UVUDF_1275               53.1422011 -27.81257587
UVUDF_1282               53.1422754 -27.81244564
UVUDF_1314               53.1418983 -27.81222204
UVUDF_1326               53.1421336 -27.81198363
UVUDF_1336               53.1420687 -27.81192619
UVUDF_1378               53.1411030 -27.81154627
UVUDF_1415               53.1422553 -27.81105097
UVUDF_1419               53.1421778 -27.81114614
UVUDF_1434               53.1416363 -27.81093657
UVUDF_1451               53.1406461 -27.81087627
UVUDF_1460               53.1422249 -27.81072822
UVUDF_1464               53.1421418 -27.81075221
UVUDF_1493               53.1405750 -27.81051549
UVUDF_1517               53.1393283 -27.81032297
UVUDF_1566               53.1403323 -27.80966800
UVUDF_1623               53.1399183 -27.80929363
UVUDF_1627               53.1399902 -27.80931681
UVUDF_1631               53.1391606 -27.80931796
UVUDF_1696               53.1385686 -27.80890754
UVUDF_1725               53.1369789 -27.80873532
UVUDF_1746               53.1384985 -27.80858289
UVUDF_1776               53.1383848 -27.80843741
UVUDF_1799               53.1385467 -27.80828097
UVUDF_1832               53.1386930 -27.80802244
UVUDF_1833               53.1384789 -27.80804745
UVUDF_1835               53.1387180 -27.80796867
UVUDF_1881               53.1389760 -27.80770623
UVUDF_1956               53.1376037 -27.80726745
UVUDF_1979               53.1352991 -27.80695003
UVUDF_1999               53.1354438 -27.80703081
UVUDF_2035               53.1384797 -27.80673237
UVUDF_2045               53.1383554 -27.80666894
UVUDF_2068               53.1384115 -27.80648262
UVUDF_2070               53.1371024 -27.80651588
UVUDF_2108               53.1375610 -27.80631725
UVUDF_2153               53.1339100 -27.80607384
UVUDF_2183               53.1375411 -27.80582245
UVUDF_2189               53.1343878 -27.80579427
UVUDF_2226               53.1352514 -27.80544954
UVUDF_2258               53.1341107 -27.80525577
UVUDF_2271               53.1361352 -27.80522327
UVUDF_2301               53.1355355 -27.80508461
UVUDF_2306               53.1337722 -27.80507046
UVUDF_2332               53.1363002 -27.80496152
UVUDF_2361               53.1343951 -27.80485797
UVUDF_2365               53.1350973 -27.80484251
UVUDF_2400               53.1366370 -27.80462062
UVUDF_2428               53.1334409 -27.80442222
UVUDF_2442               53.1331558 -27.80438639
UVUDF_2506               53.1336296 -27.80386040
UVUDF_2513               53.1336334 -27.80397878
UVUDF_2557               53.1350210 -27.80373963
UVUDF_2578               53.1343697 -27.80362573
UVUDF_2597               53.1337817 -27.80352920
UVUDF_2611               53.1337128 -27.80339115
UVUDF_2642               53.1337076 -27.80327193
UVUDF_2671               53.1309326 -27.80311973
UVUDF_2683               53.1304702 -27.80303049
UVUDF_2684               53.1340270 -27.80303218
UVUDF_2701               53.1348602 -27.80293863
UVUDF_2746               53.1302849 -27.80258515
UVUDF_2811               53.1319581 -27.80235251
UVUDF_2820               53.1301099 -27.80233357
UVUDF_2839               53.1329911 -27.80213150
UVUDF_2855               53.1328138 -27.80208055
UVUDF_2878               53.1341469 -27.80208781
UVUDF_2911               53.1295425 -27.80179396
UVUDF_2914               53.1286273 -27.80184633
UVUDF_2928               53.1301636 -27.80152675
UVUDF_2929               53.1307174 -27.80172529
UVUDF_2940               53.1333165 -27.80166643
