#ID                             RA                DEC
UVUDF_16                 53.1645966 -27.83115894
UVUDF_3806               53.1607211 -27.79729692
UVUDF_3866               53.1508893 -27.79707389
UVUDF_4066               53.1708720 -27.79625874
UVUDF_4100               53.1601734 -27.79609322
UVUDF_4132               53.1478494 -27.79595749
UVUDF_4449               53.1481373 -27.78632694
UVUDF_4473               53.1548890 -27.78647484
UVUDF_4548               53.1529647 -27.78685222
UVUDF_4553               53.1494152 -27.78687057
UVUDF_4607               53.1579746 -27.78709288
UVUDF_4638               53.1372051 -27.78732126
UVUDF_4805               53.1629083 -27.78518151
UVUDF_4891               53.1638948 -27.78857207
UVUDF_4915               53.1555766 -27.78866151
UVUDF_4958               53.1372090 -27.78886520
UVUDF_5160               53.1388156 -27.78991971
UVUDF_5337               53.1464616 -27.79046515
UVUDF_5371               53.1489452 -27.79083799
UVUDF_5399               53.1579224 -27.79093142
UVUDF_5749               53.1634983 -27.79244727
UVUDF_5774               53.1589880 -27.79260339
UVUDF_5785               53.1657716 -27.79265813
UVUDF_5833               53.1447813 -27.79286359
UVUDF_5914               53.1601563 -27.79318966
UVUDF_5927               53.1468293 -27.79322993
UVUDF_5972               53.1513643 -27.79346248
UVUDF_6015               53.1609458 -27.79366784
UVUDF_6165               53.1683167 -27.79418733
UVUDF_6326               53.1702525 -27.79487227
UVUDF_6403               53.1699188 -27.79518860
UVUDF_6435               53.1585075 -27.78604190
UVUDF_6615               53.1503236 -27.78551600
UVUDF_6648               53.1605444 -27.78534218
UVUDF_6762               53.1402689 -27.78490819
UVUDF_6973               53.1619968 -27.78407910
UVUDF_7382               53.1452273 -27.78197868
UVUDF_7541               53.1507725 -27.78326174
UVUDF_7660               53.1495060 -27.78078171
UVUDF_8364               53.1535763 -27.77679114
UVUDF_8549               53.1551568 -27.77541422
UVUDF_9019               53.1533541 -27.77111183
UVUDF_9196               53.1514022 -27.77231842
UVUDF_9474               53.1546867 -27.77528182
UVUDF_9611               53.1554890 -27.77833605
UVUDF_9786               53.1529481 -27.77836712
UVUDF_9813               53.1432714 -27.77869184
UVUDF_9933               53.1596354 -27.77960281
UVUDF_10059              53.1481242 -27.78142944
UVUDF_10115              53.1559647 -27.78194407
UVUDF_10212              53.1501409 -27.78288803
UVUDF_10215              53.1624876 -27.78415168
UVUDF_10270              53.1423444 -27.78370144
UVUDF_10322              53.1491353 -27.78459466
UVUDF_10371              53.1383519 -27.78512269
UVUDF_10437              53.1491137 -27.78616207
UVUDF_10507              53.1591331 -27.78780359
UVUDF_10535              53.1430198 -27.78828666
UVUDF_10598              53.1402258 -27.78998419
UVUDF_10604              53.1466286 -27.79019568
UVUDF_22678              53.1658681 -27.78935915
UVUDF_24458              53.1529596 -27.77388894
HST3D_17405              53.1655020 -27.82849000
HST3D_17640              53.1638630 -27.83068200
HST3D_17451              53.1645070 -27.83092300
HST3D_17851              53.1628740 -27.82946400
HST3D_17702              53.1625480 -27.82981300
HST3D_17832              53.1617820 -27.82904300
HST3D_17870              53.1640360 -27.82888900
HST3D_17970              53.1643780 -27.82859600
HST3D_17905              53.1646780 -27.82866600
HST3D_17949              53.1608230 -27.82850700
HST3D_18245              53.1638460 -27.82751500
HST3D_18183              53.1618510 -27.82758200
HST3D_18229              53.1602680 -27.82551600
HST3D_18110              53.1612170 -27.82765100
HST3D_18350              53.1623300 -27.82695700
HST3D_18242              53.1623140 -27.82731600
HST3D_18164              53.1627190 -27.82743800
HST3D_18324              53.1668760 -27.82697200
HST3D_18196              53.1673330 -27.82728800
HST3D_18205              53.1607790 -27.82726100
HST3D_18387              53.1632430 -27.82670300
HST3D_18295              53.1615130 -27.82689500
HST3D_18314              53.1586710 -27.82684100
HST3D_18277              53.1595520 -27.82698200
HST3D_18451              53.1624890 -27.82626800
HST3D_18571              53.1626740 -27.82583100
HST3D_18437              53.1676980 -27.82625200
HST3D_18493              53.1681490 -27.82593500
HST3D_18533              53.1688290 -27.82570000
HST3D_18642              53.1617380 -27.82456400
HST3D_18548              53.1573530 -27.82559100
HST3D_18614              53.1684390 -27.82529800
HST3D_18683              53.1686800 -27.82515800
HST3D_18727              53.1576420 -27.82496900
HST3D_18780              53.1671440 -27.82449000
HST3D_18695              53.1618710 -27.82499500
HST3D_18673              53.1590930 -27.82499800
HST3D_18976              53.1680970 -27.82319700
HST3D_18825              53.1622650 -27.82426600
HST3D_18869              53.1589760 -27.82398400
HST3D_19028              53.1567270 -27.82305700
HST3D_18939              53.1691140 -27.82355500
HST3D_18966              53.1594270 -27.82339600
HST3D_18947              53.1695050 -27.82349900
HST3D_19004              53.1706930 -27.82318100
HST3D_19069              53.1732410 -27.82292300
HST3D_19001              53.1690920 -27.82321400
HST3D_19210              53.1558840 -27.82221900
HST3D_19171              53.1605350 -27.82268600
HST3D_19080              53.1610470 -27.82280900
HST3D_19149              53.1583710 -27.82282500
HST3D_19055              53.1718090 -27.82294100
HST3D_19124              53.1716990 -27.82253700
HST3D_19312              53.1717290 -27.82178600
HST3D_19150              53.1666690 -27.82243400
HST3D_19147              53.1651310 -27.82243500
HST3D_19365              53.1543720 -27.82147800
HST3D_19383              53.1726180 -27.82142000
HST3D_19224              53.1673420 -27.82210100
HST3D_19258              53.1533130 -27.82196800
HST3D_19382              53.1704670 -27.82159200
HST3D_19239              53.1725440 -27.82204200
HST3D_19252              53.1678820 -27.82196700
HST3D_19236              53.1657840 -27.82206500
HST3D_19356              53.1640280 -27.82162900
HST3D_19291              53.1584460 -27.82178400
HST3D_19272              53.1689670 -27.82187300
HST3D_19280              53.1587420 -27.82180600
HST3D_19373              53.1537740 -27.82150700
HST3D_19516              53.1675670 -27.82089000
HST3D_19290              53.1683850 -27.82176600
HST3D_19292              53.1678740 -27.82173300
HST3D_19375              53.1553350 -27.82146600
HST3D_19403              53.1526600 -27.82117800
HST3D_19405              53.1675810 -27.82117900
HST3D_19392              53.1558140 -27.82121100
HST3D_19445              53.1558820 -27.82102700
HST3D_19450              53.1734360 -27.82100100
HST3D_19421              53.1584680 -27.82109100
HST3D_19448              53.1743790 -27.82100300
HST3D_19472              53.1696140 -27.82092700
HST3D_19514              53.1603410 -27.82076600
HST3D_19671              53.1734280 -27.82027900
HST3D_19638              53.1598040 -27.82034400
HST3D_19587              53.1724310 -27.82046000
HST3D_19569              53.1600480 -27.82053000
HST3D_19664              53.1720540 -27.82007600
HST3D_19643              53.1706650 -27.82024200
HST3D_19624              53.1753140 -27.81989300
HST3D_19626              53.1607840 -27.82024800
HST3D_19667              53.1700350 -27.82014600
HST3D_19644              53.1514120 -27.82011800
HST3D_19640              53.1725060 -27.82013400
HST3D_19731              53.1729070 -27.81979100
HST3D_19715              53.1617040 -27.81925400
HST3D_19767              53.1512260 -27.81976000
HST3D_19649              53.1709330 -27.82009300
HST3D_19692              53.1716600 -27.81985200
HST3D_19684              53.1521300 -27.81989200
HST3D_19785              53.1702470 -27.81935500
HST3D_19687              53.1558790 -27.81990000
HST3D_19693              53.1731630 -27.81983200
HST3D_19762              53.1755820 -27.81949900
HST3D_19736              53.1754350 -27.81958500
HST3D_19819              53.1514600 -27.81936800
HST3D_19770              53.1555210 -27.81946000
HST3D_19741              53.1761570 -27.81957900
HST3D_19811              53.1610380 -27.81938300
HST3D_19844              53.1585650 -27.81916800
HST3D_19989              53.1525910 -27.81842100
HST3D_19821              53.1525350 -27.81916100
HST3D_19823              53.1676160 -27.81916100
HST3D_19915              53.1583930 -27.81900200
HST3D_19849              53.1771920 -27.81900300
HST3D_19888              53.1614610 -27.81883000
HST3D_19919              53.1606760 -27.81872900
HST3D_19932              53.1717860 -27.81864200
HST3D_19909              53.1580100 -27.81874600
HST3D_19929              53.1520230 -27.81865200
HST3D_19958              53.1678900 -27.81852700
HST3D_19924              53.1530020 -27.81867500
HST3D_19956              53.1683730 -27.81851800
HST3D_19935              53.1608980 -27.81859400
HST3D_19968              53.1553760 -27.81840500
HST3D_20012              53.1666820 -27.81826300
HST3D_20049              53.1500760 -27.81794600
HST3D_19971              53.1677540 -27.81839300
HST3D_20166              53.1756150 -27.81753800
HST3D_20199              53.1677500 -27.81669400
HST3D_20009              53.1738050 -27.81815000
HST3D_19991              53.1697590 -27.81823700
HST3D_19981              53.1709920 -27.81829700
HST3D_20106              53.1699140 -27.81786300
HST3D_20157              53.1692580 -27.81765100
HST3D_20031              53.1727080 -27.81801800
HST3D_20139              53.1486680 -27.81771300
HST3D_20059              53.1544180 -27.81786200
HST3D_20175              53.1578810 -27.81737700
HST3D_20272              53.1732920 -27.81715900
HST3D_20102              53.1485540 -27.81761000
HST3D_20200              53.1636270 -27.81740100
HST3D_20253              53.1681740 -27.81696200
HST3D_20119              53.1567820 -27.81753500
HST3D_20146              53.1600500 -27.81746300
HST3D_20159              53.1693490 -27.81740100
HST3D_20222              53.1625570 -27.81716400
HST3D_20161              53.1602520 -27.81736100
HST3D_20135              53.1597260 -27.81749400
HST3D_20188              53.1664510 -27.81725700
HST3D_20167              53.1555220 -27.81733900
HST3D_20242              53.1704120 -27.81715500
HST3D_20181              53.1670360 -27.81726900
HST3D_20223              53.1567350 -27.81701200
HST3D_20394              53.1573380 -27.81653100
HST3D_20278              53.1589470 -27.81684400
HST3D_20215              53.1526360 -27.81704800
HST3D_20404              53.1644490 -27.81534000
HST3D_20281              53.1762990 -27.81681800
HST3D_20398              53.1625190 -27.81654200
HST3D_20454              53.1607130 -27.81629900
HST3D_20274              53.1508730 -27.81685300
HST3D_20360              53.1757850 -27.81656000
HST3D_20392              53.1662370 -27.81637800
HST3D_20311              53.1515200 -27.81667700
HST3D_20318              53.1557410 -27.81662500
HST3D_20301              53.1650340 -27.81669500
HST3D_20461              53.1745010 -27.81495900
HST3D_20305              53.1547810 -27.81665600
HST3D_20490              53.1542830 -27.81592700
HST3D_20367              53.1745760 -27.81637600
HST3D_20342              53.1501030 -27.81647800
HST3D_20527              53.1469900 -27.81590200
HST3D_20339              53.1636610 -27.81651000
HST3D_20411              53.1481940 -27.81617100
HST3D_20344              53.1771800 -27.81647100
HST3D_20557              53.1734250 -27.81572300
HST3D_20391              53.1550380 -27.81617800
HST3D_20396              53.1510620 -27.81615500
HST3D_20547              53.1643580 -27.81568500
HST3D_20489              53.1594050 -27.81583000
HST3D_20614              53.1480450 -27.81544900
HST3D_20727              53.1536850 -27.81498300
HST3D_20389              53.1733290 -27.81617300
HST3D_20637              53.1731520 -27.81333600
HST3D_20449              53.1719790 -27.81606600
HST3D_20520              53.1622160 -27.81577100
HST3D_20433              53.1653850 -27.81598800
HST3D_20452              53.1638010 -27.81590800
HST3D_20438              53.1668340 -27.81596100
HST3D_20477              53.1492510 -27.81580100
HST3D_20493              53.1657290 -27.81571200
HST3D_20608              53.1584100 -27.81529700
HST3D_20514              53.1573010 -27.81559900
HST3D_20634              53.1501110 -27.81522500
HST3D_20510              53.1483580 -27.81559000
HST3D_20651              53.1498820 -27.81399500
HST3D_20581              53.1595930 -27.81540200
HST3D_20587              53.1676540 -27.81515000
HST3D_20583              53.1681910 -27.81518100
HST3D_20570              53.1632800 -27.81525100
HST3D_20567              53.1525290 -27.81525700
HST3D_20589              53.1756110 -27.81513500
HST3D_20613              53.1740580 -27.81521800
HST3D_20698              53.1648110 -27.81436700
HST3D_20667              53.1583430 -27.81485300
HST3D_20722              53.1763350 -27.81475100
HST3D_20663              53.1471560 -27.81486200
HST3D_20734              53.1519360 -27.81465200
HST3D_20729              53.1635690 -27.81460900
HST3D_20626              53.1652040 -27.81499700
HST3D_20653              53.1646660 -27.81488200
HST3D_20883              53.1591540 -27.81374600
HST3D_20674              53.1587180 -27.81476000
HST3D_20710              53.1673650 -27.81462300
HST3D_20749              53.1599710 -27.81441800
HST3D_20714              53.1756640 -27.81456100
HST3D_20718              53.1750960 -27.81453200
HST3D_20976              53.1595970 -27.81345000
HST3D_20731              53.1638860 -27.81443900
HST3D_20741              53.1618800 -27.81437800
HST3D_20792              53.1508830 -27.81397100
HST3D_20794              53.1742810 -27.81396600
HST3D_20776              53.1769310 -27.81410800
HST3D_20783              53.1561050 -27.81406200
HST3D_20821              53.1487030 -27.81387900
HST3D_20801              53.1516020 -27.81394000
HST3D_20810              53.1684720 -27.81390900
HST3D_21141              53.1681670 -27.81292900
HST3D_20865              53.1758410 -27.81365400
HST3D_20840              53.1513470 -27.81375200
HST3D_20828              53.1600260 -27.81380600
HST3D_20842              53.1770160 -27.81374200
HST3D_20926              53.1764900 -27.81345900
HST3D_20895              53.1598600 -27.81358300
HST3D_21086              53.1664010 -27.81289100
HST3D_20859              53.1710460 -27.81367400
HST3D_20925              53.1533650 -27.81343100
HST3D_20912              53.1761940 -27.81342600
HST3D_21101              53.1744000 -27.81271200
HST3D_21018              53.1483490 -27.81288200
HST3D_20982              53.1503690 -27.81300300
HST3D_20957              53.1515840 -27.81311400
HST3D_21025              53.1520430 -27.81276000
HST3D_21201              53.1743870 -27.81204800
HST3D_21090              53.1678890 -27.81251300
HST3D_21445              53.1516530 -27.81087200
HST3D_21094              53.1679140 -27.81232600
HST3D_21228              53.1608280 -27.81182400
HST3D_21131              53.1712530 -27.81214400
HST3D_21171              53.1755420 -27.81190400
HST3D_21180              53.1669300 -27.81182300
HST3D_21346              53.1755720 -27.81122500
HST3D_21232              53.1511580 -27.81152800
HST3D_21238              53.1653480 -27.81148800
HST3D_21261              53.1530300 -27.81138700
HST3D_21306              53.1599640 -27.81114800
HST3D_21417              53.1753910 -27.81080100
HST3D_21302              53.1662160 -27.81118800
HST3D_21321              53.1415080 -27.81106500
HST3D_21342              53.1525580 -27.81097700
HST3D_21357              53.1419080 -27.81088300
HST3D_21740              53.1450830 -27.80984600
HST3D_21414              53.1674590 -27.81063200
HST3D_21426              53.1604990 -27.81063800
HST3D_21446              53.1608470 -27.81044900
HST3D_21427              53.1589320 -27.81054400
HST3D_21395              53.1681670 -27.81074000
HST3D_21454              53.1653210 -27.81042800
HST3D_21617              53.1725130 -27.80983600
HST3D_21478              53.1660790 -27.81034400
HST3D_21749              53.1382570 -27.80932500
HST3D_21485              53.1512890 -27.81029100
HST3D_21440              53.1734270 -27.81049000
HST3D_21473              53.1626410 -27.81031200
HST3D_21456              53.1390530 -27.81039300
HST3D_21471              53.1401830 -27.81032900
HST3D_21499              53.1434640 -27.81023300
HST3D_21541              53.1590920 -27.81005500
HST3D_21564              53.1414960 -27.80996600
HST3D_21543              53.1509330 -27.80994900
HST3D_21526              53.1398070 -27.81001800
HST3D_21843              53.1536500 -27.80893900
HST3D_21531              53.1411690 -27.80997500
HST3D_21601              53.1621130 -27.80969700
HST3D_21576              53.1748980 -27.80977700
HST3D_21658              53.1445710 -27.80940200
HST3D_21665              53.1467800 -27.80941600
HST3D_22113              53.1375380 -27.80816700
HST3D_21621              53.1518700 -27.80950600
HST3D_21650              53.1426190 -27.80934900
HST3D_21609              53.1735360 -27.80956900
HST3D_21667              53.1637530 -27.80924400
HST3D_21653              53.1645190 -27.80929400
HST3D_21642              53.1535300 -27.80937800
HST3D_21643              53.1735610 -27.80939700
HST3D_21829              53.1571410 -27.80880500
HST3D_21909              53.1377200 -27.80855200
HST3D_21641              53.1448930 -27.80938800
HST3D_21660              53.1496670 -27.80927000
HST3D_21798              53.1632190 -27.80898500
HST3D_22027              53.1736580 -27.80823500
HST3D_21799              53.1552130 -27.80875700
HST3D_21792              53.1489310 -27.80874900
HST3D_21695              53.1753590 -27.80901500
HST3D_21753              53.1519040 -27.80890500
HST3D_22093              53.1612000 -27.80811600
HST3D_21779              53.1726840 -27.80867000
HST3D_21708              53.1541000 -27.80898100
HST3D_21849              53.1459340 -27.80853100
HST3D_21784              53.1559370 -27.80871700
HST3D_22078              53.1599840 -27.80805000
HST3D_21731              53.1638410 -27.80886300
HST3D_21758              53.1510290 -27.80871600
HST3D_21835              53.1666010 -27.80849900
HST3D_21746              53.1704840 -27.80875100
HST3D_21729              53.1728210 -27.80887500
HST3D_21733              53.1398080 -27.80886300
HST3D_21752              53.1695850 -27.80872500
HST3D_21745              53.1711330 -27.80876200
HST3D_21844              53.1515180 -27.80836700
HST3D_21775              53.1395990 -27.80861600
HST3D_21821              53.1572400 -27.80840000
HST3D_22276              53.1598030 -27.80714300
HST3D_22172              53.1680350 -27.80741300
HST3D_21870              53.1509820 -27.80823000
HST3D_21803              53.1691270 -27.80846400
HST3D_22005              53.1647290 -27.80790300
HST3D_21842              53.1450970 -27.80827000
HST3D_21809              53.1448770 -27.80839300
HST3D_21861              53.1462230 -27.80817600
HST3D_21848              53.1379830 -27.80822900
HST3D_21940              53.1748450 -27.80796800
HST3D_21824              53.1603280 -27.80830900
HST3D_21852              53.1513070 -27.80817200
HST3D_21846              53.1619170 -27.80820400
HST3D_21840              53.1478170 -27.80823000
HST3D_22016              53.1558260 -27.80762700
HST3D_21888              53.1497360 -27.80800100
HST3D_21869              53.1397880 -27.80810100
HST3D_22135              53.1615120 -27.80752300
HST3D_21876              53.1481650 -27.80804200
HST3D_21953              53.1752540 -27.80782500
HST3D_21956              53.1635710 -27.80760500
HST3D_21899              53.1621610 -27.80796600
HST3D_22028              53.1627690 -27.80740300
HST3D_21959              53.1425380 -27.80760700
HST3D_22060              53.1686630 -27.80736600
HST3D_22252              53.1622060 -27.80544700
HST3D_21948              53.1743800 -27.80763000
HST3D_21947              53.1576560 -27.80763500
HST3D_22111              53.1550050 -27.80720300
HST3D_22033              53.1640810 -27.80738200
HST3D_21942              53.1759010 -27.80765900
HST3D_21989              53.1644290 -27.80759000
HST3D_21961              53.1592950 -27.80758900
HST3D_22025              53.1578010 -27.80742000
HST3D_21994              53.1373940 -27.80745200
HST3D_21971              53.1567420 -27.80753700
HST3D_22239              53.1600260 -27.80685800
HST3D_22118              53.1618860 -27.80705500
HST3D_22151              53.1379220 -27.80692100
HST3D_22091              53.1364120 -27.80705700
HST3D_22035              53.1476430 -27.80723700
HST3D_22080              53.1468710 -27.80715700
HST3D_22024              53.1495440 -27.80731600
HST3D_22152              53.1755450 -27.80689700
HST3D_22061              53.1704440 -27.80712100
HST3D_22054              53.1404170 -27.80717100
HST3D_22053              53.1670870 -27.80716300
HST3D_22095              53.1659060 -27.80702100
HST3D_22074              53.1657020 -27.80706800
HST3D_22278              53.1379580 -27.80640300
HST3D_22084              53.1602140 -27.80704900
HST3D_22194              53.1441280 -27.80661800
HST3D_22154              53.1739670 -27.80691900
HST3D_22099              53.1492120 -27.80698500
HST3D_22288              53.1460450 -27.80644200
HST3D_22153              53.1731120 -27.80679200
HST3D_22116              53.1655770 -27.80689600
HST3D_22200              53.1364520 -27.80655800
HST3D_22117              53.1636730 -27.80686700
HST3D_22420              53.1611300 -27.80608000
HST3D_22170              53.1665820 -27.80659700
HST3D_22185              53.1376140 -27.80654000
HST3D_22293              53.1649510 -27.80645400
HST3D_22268              53.1390610 -27.80623600
HST3D_22176              53.1656620 -27.80653500
HST3D_22547              53.1612320 -27.80488300
HST3D_22280              53.1732100 -27.80615200
HST3D_22208              53.1420810 -27.80639400
HST3D_22180              53.1584320 -27.80652100
HST3D_22234              53.1421860 -27.80628000
HST3D_22258              53.1343370 -27.80627100
HST3D_22202              53.1642760 -27.80642000
HST3D_22488              53.1511880 -27.80556300
HST3D_22212              53.1591830 -27.80638400
HST3D_22206              53.1564270 -27.80640200
HST3D_22309              53.1381390 -27.80601100
HST3D_22405              53.1529100 -27.80575100
HST3D_22299              53.1716680 -27.80588300
HST3D_22237              53.1633280 -27.80623300
HST3D_22383              53.1574380 -27.80572300
HST3D_22253              53.1715870 -27.80610800
HST3D_22351              53.1567720 -27.80576000
HST3D_22292              53.1505890 -27.80590600
HST3D_22277              53.1614590 -27.80598300
HST3D_22371              53.1582060 -27.80572300
HST3D_22318              53.1594220 -27.80585300
HST3D_22300              53.1413630 -27.80586400
HST3D_22297              53.1365920 -27.80588200
HST3D_22321              53.1651920 -27.80580400
HST3D_22310              53.1570540 -27.80584600
HST3D_22329              53.1548760 -27.80575100
HST3D_22347              53.1496240 -27.80560900
HST3D_22493              53.1375080 -27.80519400
HST3D_22510              53.1650190 -27.80530600
HST3D_22408              53.1567090 -27.80540900
HST3D_22367              53.1460070 -27.80548700
HST3D_22381              53.1584620 -27.80544400
HST3D_22349              53.1727970 -27.80560000
HST3D_22463              53.1524320 -27.80521400
HST3D_22385              53.1532710 -27.80542600
HST3D_22819              53.1407530 -27.80447200
HST3D_22396              53.1489340 -27.80536000
HST3D_22392              53.1647980 -27.80538500
HST3D_22714              53.1405350 -27.80456700
HST3D_22410              53.1518530 -27.80527600
HST3D_22397              53.1561190 -27.80536100
HST3D_22593              53.1387650 -27.80492600
HST3D_22419              53.1349720 -27.80524600
HST3D_22403              53.1582050 -27.80532100
HST3D_22449              53.1699990 -27.80508500
HST3D_22428              53.1540450 -27.80517700
HST3D_22501              53.1750760 -27.80490600
HST3D_22443              53.1675640 -27.80511200
HST3D_22438              53.1341980 -27.80513300
HST3D_22450              53.1665170 -27.80507300
HST3D_22793              53.1416130 -27.80407700
HST3D_22482              53.1694330 -27.80491200
HST3D_22812              53.1362790 -27.80412600
HST3D_22456              53.1356580 -27.80506700
HST3D_22452              53.1576000 -27.80507100
HST3D_22469              53.1585380 -27.80497600
HST3D_22478              53.1394180 -27.80494700
HST3D_22560              53.1626570 -27.80467700
HST3D_22480              53.1326830 -27.80493100
HST3D_22614              53.1717010 -27.80456000
HST3D_22603              53.1583250 -27.80457900
HST3D_22868              53.1544510 -27.80402400
HST3D_22498              53.1579910 -27.80485500
HST3D_22522              53.1662700 -27.80477400
HST3D_22515              53.1660770 -27.80477100
HST3D_22491              53.1568990 -27.80488800
HST3D_22534              53.1651520 -27.80475500
HST3D_22645              53.1319590 -27.80434300
HST3D_22484              53.1601480 -27.80489800
HST3D_22863              53.1690470 -27.80371800
HST3D_22540              53.1385980 -27.80465900
HST3D_22571              53.1663480 -27.80450700
HST3D_22539              53.1588670 -27.80465600
HST3D_22741              53.1638070 -27.80410100
HST3D_22567              53.1713410 -27.80452500
HST3D_22659              53.1377190 -27.80421400
HST3D_22580              53.1457690 -27.80446800
HST3D_22760              53.1407410 -27.80398600
HST3D_22601              53.1453990 -27.80438000
HST3D_22692              53.1411760 -27.80402500
HST3D_22624              53.1671730 -27.80428500
HST3D_22621              53.1689000 -27.80428600
HST3D_22682              53.1625960 -27.80411700
HST3D_22631              53.1447080 -27.80427000
HST3D_22635              53.1614190 -27.80425000
HST3D_22633              53.1656320 -27.80423400
HST3D_22657              53.1548990 -27.80412400
HST3D_22843              53.1425460 -27.80371500
HST3D_22828              53.1662800 -27.80372600
HST3D_22729              53.1424310 -27.80388200
HST3D_22865              53.1535480 -27.80363100
HST3D_22663              53.1743230 -27.80407000
HST3D_22763              53.1422450 -27.80381900
HST3D_22744              53.1639590 -27.80385700
HST3D_22685              53.1526460 -27.80397900
HST3D_22933              53.1536950 -27.80334700
HST3D_22688              53.1736640 -27.80395000
HST3D_23206              53.1616110 -27.80278600
HST3D_22734              53.1641650 -27.80381400
HST3D_22694              53.1589980 -27.80393000
HST3D_22728              53.1578690 -27.80377000
HST3D_22700              53.1746200 -27.80388300
HST3D_22719              53.1572630 -27.80381400
HST3D_23553              53.1572720 -27.79845400
HST3D_22846              53.1451290 -27.80350300
HST3D_22725              53.1672990 -27.80377700
HST3D_22746              53.1400470 -27.80369500
HST3D_22735              53.1710630 -27.80373700
HST3D_24110              53.1668900 -27.79873200
HST3D_22827              53.1556220 -27.80342000
HST3D_22817              53.1743190 -27.80328800
HST3D_22762              53.1680010 -27.80359200
HST3D_22983              53.1613280 -27.80287100
HST3D_22761              53.1675130 -27.80359800
HST3D_22778              53.1665580 -27.80351500
HST3D_22829              53.1339030 -27.80326000
HST3D_22813              53.1532670 -27.80331700
HST3D_22841              53.1740860 -27.80322400
HST3D_22820              53.1676350 -27.80330000
HST3D_23110              53.1641760 -27.80273400
HST3D_22870              53.1659330 -27.80312800
HST3D_23421              53.1377600 -27.80208700
HST3D_22810              53.1587330 -27.80335100
HST3D_23620              53.1545910 -27.80108900
HST3D_22795              53.1569260 -27.80342000
HST3D_22832              53.1683030 -27.80323300
HST3D_22912              53.1475050 -27.80291100
HST3D_22919              53.1611050 -27.80316300
HST3D_23015              53.1610250 -27.80290300
HST3D_22823              53.1407490 -27.80327800
HST3D_22849              53.1617560 -27.80318100
HST3D_22840              53.1681750 -27.80323100
HST3D_22877              53.1703150 -27.80304000
HST3D_22869              53.1438070 -27.80305500
HST3D_22938              53.1731510 -27.80276100
HST3D_22887              53.1692250 -27.80300600
HST3D_22990              53.1376350 -27.80264000
HST3D_22968              53.1362120 -27.80274000
HST3D_22910              53.1585130 -27.80294600
HST3D_22949              53.1595080 -27.80291100
HST3D_22910              53.1585130 -27.80294600
HST3D_22914              53.1589580 -27.80286500
HST3D_22915              53.1373680 -27.80285800
HST3D_23011              53.1354890 -27.80256700
HST3D_24491              53.1517800 -27.79738700
HST3D_22972              53.1535960 -27.80254500
HST3D_23112              53.1682370 -27.80241600
HST3D_23016              53.1422500 -27.80234100
HST3D_22964              53.1634090 -27.80259900
HST3D_22986              53.1410020 -27.80246800
HST3D_22981              53.1648160 -27.80251100
HST3D_22974              53.1520420 -27.80254500
HST3D_23057              53.1522220 -27.80220900
HST3D_23033              53.1399000 -27.80224600
HST3D_23077              53.1419980 -27.80210700
HST3D_22989              53.1601010 -27.80245700
HST3D_23082              53.1524530 -27.80217900
HST3D_23060              53.1709640 -27.80211300
HST3D_23208              53.1663830 -27.80182400
HST3D_23000              53.1582100 -27.80236900
HST3D_23067              53.1292880 -27.80209500
HST3D_23026              53.1414260 -27.80227200
HST3D_23029              53.1740340 -27.80227000
HST3D_23034              53.1533990 -27.80222300
HST3D_23055              53.1552370 -27.80215000
HST3D_23138              53.1567850 -27.80195400
HST3D_23084              53.1614170 -27.80211100
HST3D_23081              53.1728660 -27.80201600
HST3D_23049              53.1382770 -27.80215800
HST3D_23088              53.1592960 -27.80199400
HST3D_23176              53.1358490 -27.80167800
HST3D_23062              53.1644420 -27.80210100
HST3D_23193              53.1652180 -27.80171500
HST3D_23090              53.1691010 -27.80197200
HST3D_23128              53.1634070 -27.80175500
HST3D_23140              53.1707760 -27.80168400
HST3D_23664              53.1525430 -27.80036800
HST3D_23430              53.1424310 -27.80089200
HST3D_23500              53.1699490 -27.80126500
HST3D_23304              53.1657830 -27.80112400
HST3D_23149              53.1430410 -27.80164500
HST3D_23155              53.1618760 -27.80163500
HST3D_23231              53.1392860 -27.80133700
HST3D_23195              53.1699830 -27.80138900
HST3D_23205              53.1645970 -27.80138100
HST3D_23263              53.1592460 -27.80120400
HST3D_23216              53.1446360 -27.80133500
HST3D_23765              53.1681550 -27.79983600
HST3D_23224              53.1671260 -27.80129600
HST3D_23326              53.1531830 -27.80104400
HST3D_23234              53.1324320 -27.80124100
HST3D_23373              53.1680740 -27.80096200
HST3D_23249              53.1515080 -27.80120200
HST3D_23269              53.1564070 -27.80110000
HST3D_23375              53.1536990 -27.80103400
HST3D_23230              53.1653820 -27.80127000
HST3D_23247              53.1472790 -27.80113800
HST3D_23246              53.1573980 -27.80116200
HST3D_23310              53.1330980 -27.80088700
HST3D_23276              53.1409650 -27.80099600
HST3D_23271              53.1724280 -27.80100000
HST3D_23426              53.1570650 -27.80066900
HST3D_23332              53.1539480 -27.80084000
HST3D_23273              53.1646420 -27.80098700
HST3D_23613              53.1698480 -27.80012400
HST3D_23298              53.1558570 -27.80087400
HST3D_23491              53.1539940 -27.80034200
HST3D_23407              53.1667950 -27.80061000
HST3D_23378              53.1725140 -27.80054700
HST3D_23303              53.1508000 -27.80086300
HST3D_23828              53.1515590 -27.79958000
HST3D_24207              53.1511930 -27.79869500
HST3D_23387              53.1676360 -27.80060000
HST3D_23351              53.1286470 -27.80060900
