#ID                             RA                DEC
HST3D_15039              189.2917320  62.21635600
HST3D_15353              189.3243190  62.21780000
HST3D_15472              189.2709930  62.21871000
HST3D_15599              189.3233790  62.21935100
HST3D_15600              189.3252050  62.21936900
HST3D_15789              189.2725720  62.22035500
HST3D_15952              189.2711100  62.22105700
HST3D_15962              189.2704040  62.22119800
HST3D_16104              189.3107640  62.22194000
HST3D_16303              189.3036010  62.22301800
HST3D_16304              189.2856340  62.22302500
HST3D_16335              189.3342900  62.22321000
HST3D_16369              189.3552690  62.22337400
HST3D_16432              189.3215710  62.22377100
HST3D_16449              189.3222510  62.22369600
HST3D_16471              189.3572720  62.22393300
HST3D_16473              189.2880470  62.22398700
HST3D_16644              189.3581240  62.22486000
HST3D_16701              189.2558810  62.22514600
HST3D_16761              189.2638060  62.22541000
HST3D_16832              189.2793150  62.22577000
HST3D_16856              189.2856570  62.22589100
HST3D_16873              189.3501440  62.22590800
HST3D_16876              189.3563560  62.22589400
HST3D_16967              189.2809980  62.22627000
HST3D_17008              189.3175340  62.22652400
HST3D_17020              189.2724830  62.22661100
HST3D_17026              189.3571200  62.22654900
HST3D_17044              189.3616170  62.22619100
HST3D_17109              189.2804210  62.22692700
HST3D_17232              189.3632090  62.22745200
HST3D_17284              189.2353470  62.22774900
HST3D_17298              189.3563430  62.22755800
HST3D_17345              189.2374160  62.22812800
HST3D_17360              189.3226330  62.22818200
HST3D_17371              189.2517370  62.22827200
HST3D_17401              189.2893880  62.22844800
HST3D_17405              189.3719620  62.22839900
HST3D_17413              189.3128760  62.22847100
HST3D_17517              189.2906680  62.22904600
HST3D_17622              189.2564230  62.22958000
HST3D_17730              189.3036700  62.23011400
HST3D_17809              189.3348160  62.23046300
HST3D_17846              189.2416060  62.23064300
HST3D_17874              189.2323670  62.23084300
HST3D_17958              189.2776590  62.23029000
HST3D_17966              189.2285250  62.23127000
HST3D_18032              189.2275450  62.23146300
HST3D_18063              189.3607130  62.23166000
HST3D_18094              189.2688440  62.23186300
HST3D_18116              189.2613280  62.23197200
HST3D_18172              189.2271380  62.23220700
HST3D_18185              189.2209220  62.23225700
HST3D_18328              189.2936720  62.23291200
HST3D_18387              189.3382780  62.23314000
HST3D_18391              189.3119590  62.23317200
HST3D_18413              189.2834090  62.23325500
HST3D_18425              189.3743320  62.23290000
HST3D_18453              189.3108710  62.23344200
HST3D_18499              189.2428500  62.23374700
HST3D_18569              189.3221270  62.23402000
HST3D_18579              189.2378660  62.23409600
HST3D_18595              189.3772310  62.23409300
HST3D_18722              189.3540980  62.23465900
HST3D_18818              189.2916590  62.23515200
HST3D_18920              189.3539540  62.23548600
HST3D_19002              189.2906700  62.23598100
HST3D_19130              189.3143810  62.23646100
HST3D_19145              189.3603120  62.23660000
HST3D_19164              189.3868460  62.23665400
HST3D_19208              189.3365830  62.23691400
HST3D_19223              189.2330820  62.23678700
HST3D_19310              189.3435260  62.23743600
HST3D_19397              189.3723110  62.23779700
HST3D_19419              189.3861120  62.23784100
HST3D_19461              189.2699970  62.23821600
HST3D_19462              189.3699680  62.23807200
HST3D_19472              189.2194040  62.23824700
HST3D_19498              189.2721880  62.23836000
HST3D_19548              189.3211470  62.23855500
HST3D_19642              189.3703320  62.23878900
HST3D_19700              189.3701620  62.23858100
HST3D_19797              189.2702640  62.23973500
HST3D_19838              189.3716030  62.23950700
HST3D_19842              189.3638540  62.23991700
HST3D_19905              189.2566040  62.24032400
HST3D_19916              189.3457250  62.24035300
HST3D_19928              189.3728190  62.24038100
HST3D_20031              189.2859680  62.24063800
HST3D_20033              189.2954720  62.24088300
HST3D_20060              189.2114040  62.24106900
HST3D_20062              189.2485910  62.24108200
