#ID                             RA                DEC
HST3D_148                189.1570810  62.10616700
HST3D_194                189.1248070  62.10735100
HST3D_236                189.1354750  62.10871800
HST3D_266                189.1691420  62.10937100
HST3D_271                189.1627640  62.10946200
HST3D_333                189.1214680  62.11067000
HST3D_356                189.1393370  62.11124400
HST3D_374                189.1413020  62.11170800
HST3D_376                189.1778270  62.11176300
HST3D_419                189.1475300  62.11250900
HST3D_468                189.1727450  62.11338400
HST3D_488                189.1532840  62.11370500
HST3D_529                189.1601930  62.11447900
HST3D_556                189.1590390  62.11546700
HST3D_584                189.1566940  62.11543200
HST3D_645                189.1923570  62.11707400
HST3D_693                189.1854340  62.11787200
HST3D_717                189.1953900  62.11852500
HST3D_718                189.1065160  62.11849000
HST3D_753                189.1697190  62.11931900
HST3D_759                189.1793290  62.11947000
HST3D_773                189.1523410  62.11981100
HST3D_875                189.1636850  62.12172600
HST3D_883                189.1744490  62.12185600
HST3D_910                189.1851880  62.12296200
HST3D_919                189.1272020  62.12261200
HST3D_927                189.1853490  62.12271600
HST3D_1002               189.1843500  62.12431800
HST3D_1093               189.2085230  62.12621400
HST3D_1096               189.2054820  62.12627900
HST3D_1167               189.1183480  62.12730100
HST3D_1172               189.1668610  62.12745100
HST3D_1188               189.1023990  62.12763000
HST3D_1189               189.1666220  62.12765700
HST3D_1202               189.2035100  62.12799800
HST3D_1211               189.0843930  62.12802100
HST3D_1229               189.1550370  62.12826200
HST3D_1250               189.1875080  62.12858500
HST3D_1261               189.1467790  62.12863300
HST3D_1269               189.1400910  62.12872100
HST3D_1310               189.1452080  62.12982000
HST3D_1368               189.1628110  62.13036700
HST3D_1455               189.1964150  62.13140200
HST3D_1536               189.2066580  62.13273300
HST3D_1671               189.0724230  62.13428100
HST3D_1706               189.2078730  62.13472200
HST3D_1742               189.1625250  62.13523500
HST3D_1871               189.0910640  62.13729200
HST3D_1872               189.0772850  62.13729900
HST3D_1881               189.1868780  62.13747900
HST3D_1911               189.1846430  62.13780900
HST3D_2002               189.1065990  62.13873000
HST3D_2104               189.0467550  62.13975200
HST3D_2172               189.1116940  62.14038000
HST3D_2247               189.1947610  62.14118100
HST3D_2278               189.0864460  62.14152400
HST3D_2290               189.1259890  62.14182300
HST3D_2319               189.0797120  62.14188300
HST3D_2487               189.0790680  62.14355800
HST3D_2522               189.0648290  62.14396400
HST3D_2544               189.0327590  62.14397400
HST3D_2563               189.0806810  62.14421000
HST3D_2568               189.0738010  62.14427100
HST3D_2604               189.0357950  62.14460600
HST3D_2847               189.0800530  62.14650200
HST3D_2961               189.1464660  62.14743800
HST3D_2974               189.1177050  62.14748600
HST3D_3032               189.0740920  62.14785200
HST3D_3159               189.1363800  62.14901700
HST3D_3202               189.0224790  62.14916900
HST3D_3229               189.0862720  62.14942100
HST3D_3276               189.1083150  62.15008600
HST3D_3280               189.0893530  62.14980600
HST3D_3296               189.0621350  62.14991400
HST3D_3316               189.1089280  62.15034000
HST3D_3328               189.0692310  62.15018700
HST3D_3358               189.1080030  62.15100600
HST3D_3363               189.1168090  62.15050700
HST3D_3433               189.1115980  62.15110000
HST3D_3434               189.0960060  62.15100900
HST3D_3512               189.1555500  62.15161500
HST3D_3535               189.0673620  62.15174900
HST3D_3560               189.0554150  62.15195400
HST3D_3583               189.1176220  62.15217900
HST3D_3591               189.1055200  62.15267700
HST3D_3652               189.0495180  62.15291700
HST3D_3726               189.0099540  62.15315700
HST3D_3753               189.0951120  62.15355700
HST3D_3765               189.1087710  62.15366500
HST3D_3823               189.0215300  62.15407400
HST3D_3842               189.1074270  62.15456000
HST3D_3885               189.1447460  62.15461900
HST3D_3886               189.1008470  62.15460800
HST3D_3904               189.1451770  62.15476900
HST3D_4062               189.1279400  62.15595700
HST3D_4147               189.1320260  62.15662400
HST3D_4303               189.0113860  62.15770100
HST3D_4389               189.0330970  62.15837100
HST3D_4395               189.1483120  62.15846600
HST3D_4613               189.0560960  62.15993800
HST3D_4643               189.0851100  62.16046600
HST3D_4858               189.0923700  62.16176600
HST3D_4964               189.0057850  62.16241400
HST3D_4977               189.1343270  62.16290500
HST3D_5078               189.1243760  62.16338600
HST3D_5117               189.0678600  62.16371400
HST3D_5138               188.9980010  62.16380900
HST3D_5219               189.0318040  62.16422600
HST3D_5291               189.1176380  62.16484100
HST3D_5362               189.0506810  62.16527200
HST3D_5369               189.0476550  62.16549300
HST3D_5392               189.0430210  62.16549200
HST3D_5406               189.0180260  62.16558600
HST3D_5413               189.0921460  62.16596800
HST3D_5436               189.1000570  62.16587000
HST3D_5482               189.0568400  62.16613600
HST3D_5518               189.0500190  62.16658300
HST3D_5591               189.0572790  62.16694400
HST3D_5639               189.0955510  62.16741300
HST3D_5775               189.1121570  62.16838800
HST3D_5889               188.9986020  62.16901200
HST3D_5942               189.1177600  62.16951300
HST3D_6216               189.0355010  62.17119000
HST3D_6234               189.1080010  62.17140900
HST3D_6268               188.9953010  62.17146400
HST3D_6293               189.0309420  62.17167100
HST3D_6295               189.0227490  62.17165900
HST3D_6333               189.0217600  62.17213600
HST3D_6349               188.9760810  62.17189800
HST3D_6352               188.9818910  62.17193300
HST3D_6418               189.0757770  62.17273800
HST3D_6463               189.0730910  62.17288400
HST3D_6493               189.0130780  62.17315700
HST3D_6572               189.0506630  62.17358100
HST3D_6680               189.0480480  62.17424700
HST3D_6772               188.9824600  62.17470700
HST3D_6785               189.0683770  62.17493100
HST3D_7183               189.0553870  62.17749800
HST3D_7656               189.0809100  62.18043100
HST3D_7668               189.0798390  62.18047700
HST3D_7731               189.0815860  62.18080900
HST3D_7773               189.0839610  62.18081800
HST3D_8108               189.0792810  62.18286000
HST3D_8361               189.0267350  62.18414700
HST3D_11                 189.1433390  62.09627400
HST3D_37                 189.1504290  62.10060500
HST3D_38                 189.1543240  62.10081900
HST3D_45                 189.1367040  62.10148300
HST3D_73                 189.1439140  62.10360500
HST3D_81                 189.1220890  62.10378500
HST3D_90                 189.1269910  62.10424300
HST3D_335                189.1376150  62.11070800
HST3D_600                189.1484230  62.11581900
HST3D_643                189.1840950  62.11678200
HST3D_1016               189.1146630  62.12450800
HST3D_1454               189.1303270  62.13137500
HST3D_1499               189.1686000  62.13229900
HST3D_1752               189.0699410  62.13533000
HST3D_1763               189.0945250  62.13554300
HST3D_1798               189.2030650  62.13620300
HST3D_2102               189.1142160  62.13991500
HST3D_2129               189.1139790  62.14001000
HST3D_2327               189.1619430  62.14201000
HST3D_2744               189.1628740  62.14583300
HST3D_2903               189.1877420  62.14724100
HST3D_3198               189.1681230  62.14928900
HST3D_3279               189.1140510  62.15008500
HST3D_3402               189.0947520  62.15079100
HST3D_3484               189.0797200  62.15130200
HST3D_3570               189.0225320  62.15191300
HST3D_3867               189.1181950  62.15445300
HST3D_4104               189.1416980  62.15633400
HST3D_4798               189.0541640  62.16129000
HST3D_4806               189.1161750  62.16140500
HST3D_4886               189.1268540  62.16196600
HST3D_5744               189.0731810  62.16878800
HST3D_6129               189.0246560  62.17065600
HST3D_6443               189.0586880  62.17299400
HST3D_6803               189.0630760  62.17508000
HST3D_8027               189.0653330  62.18237300
HST3D_156                189.1344410  62.10640200
HST3D_909                189.0922420  62.12236700
HST3D_964                189.1518890  62.12353400
HST3D_1038               189.1751010  62.12517200
HST3D_1052               189.1329010  62.12534700
HST3D_1271               189.1402470  62.12883700
HST3D_1281               189.2124470  62.12903800
HST3D_1426               189.1415940  62.13141200
HST3D_1537               189.1786050  62.13282000
HST3D_1551               189.1941410  62.13285100
HST3D_1559               189.0739570  62.13288800
HST3D_1623               189.1505390  62.13370800
HST3D_1909               189.1817130  62.13775300
HST3D_2091               189.1911000  62.13968400
HST3D_2245               189.0808590  62.14108500
HST3D_2509               189.0721310  62.14358700
HST3D_2799               189.0230270  62.14607400
HST3D_2820               189.0862050  62.14669400
