id_ic348 ra_deg dec_deg
0 56.14255 32.162969
1 56.14735 32.167939
3 56.12995 32.106136
5 56.153921 32.112603
8 56.163242 32.155097
15 56.136429 32.143739
17 56.128417 32.1655
21 56.161325 32.145014
22 56.146 32.126928
23 56.147392 32.126708
26 56.131388 32.145833
29 56.157871 32.134489
30 56.135775 32.145136
31 56.163546 32.126542
32 56.160279 32.126594
38 56.175079 32.150033
39 56.175608 32.150611
44 56.145337 32.109325
48 56.181312 32.128606
52 56.160625 32.133522
59 56.141575 32.148356
60 56.118608 32.122875
64 56.135729 32.148839
69 56.1112 32.138978
71 56.155883 32.103261
72 56.155887 32.150258
74 56.11615 32.125436
76 56.136538 32.154381
77 56.138787 32.161006
78 56.163375 32.162425
79 56.098633 32.112933
83 56.145279 32.164842
84 56.106496 32.104708
85 56.160896 32.085125
90 56.185808 32.13685
92 56.16125 32.149094
96 56.154971 32.154472
97 56.125013 32.155853
115 56.127242 32.108258
119 56.177629 32.105428
121 56.154117 32.142844
124 56.178221 32.142739
128 56.16735 32.153611
132 56.147771 32.149036
152 56.157671 32.168731
156 56.143554 32.106933
161 56.12625 32.128503
167 56.186096 32.125086
168 56.167729 32.159231
172 56.129929 32.099675
174 56.147983 32.134594
180 56.15555 32.119758
181 56.149788 32.156747
182 56.121325 32.1326
183 56.131888 32.114825
185 56.148754 32.081308
193 56.16435 32.168936
194 56.129296 32.096089
197 56.171312 32.135414
198 56.141867 32.115817
202 56.161979 32.110114
208 56.130583 32.158111
215 56.125225 32.1469
218 56.184383 32.146503
221 56.17215 32.081522
223 56.113683 32.121578
227 56.163329 32.137203
232 56.145946 32.149317
234 56.116604 32.088789
237 56.194121 32.150517
244 56.124929 32.160967
254 56.171775 32.107547
257 56.12655 32.162381
259 56.15685 32.142472
260 56.130554 32.136514
265 56.140413 32.089075
266 56.140379 32.096308
299 56.110671 32.139067
319 56.108042 32.134831
460 56.114463 32.106697
462 56.209396 32.109922
482 56.13852083333333 32.149452777777775
483 56.145312499999996 32.148558333333334
488 56.151275 32.085172222222226
499 56.1156375 32.14760555555556
502 56.10373333333333 32.14476388888889
503 56.146674999999995 32.143883333333335
504 56.16035833333333 32.13903055555556
505 56.09873333333333 32.130722222222225
506 56.160829166666666 32.13036944444445
508 56.133091666666665 32.12916944444444
512 56.16889583333333 32.14576111111111
513 56.17844583333333 32.147194444444445
515 56.123170833333326 32.149772222222225
516 56.14169166666666 32.151519444444446
522 56.14489583333333 32.15134166666667
523 56.156212499999995 32.14757777777778
525 56.15246666666666 32.13948888888889
526 56.12293749999999 32.142313888888886
538 56.12714166666666 32.07957777777778
540 56.12031249999999 32.11175277777778
541 56.1718 32.11288888888889
542 56.13392083333333 32.11461944444444
543 56.114641666666664 32.11637777777778
544 56.13063333333333 32.117533333333334
546 56.1267125 32.12455555555555
547 56.13740416666666 32.125886111111114
548 56.104575 32.12611944444445
549 56.09679583333333 32.126305555555554
550 56.142087499999995 32.12696388888889
551 56.137412499999996 32.13233888888889
552 56.191762499999996 32.136136111111114
553 56.1419125 32.09255277777778
554 56.14506666666666 32.09873888888889
561 56.16192916666666 32.091838888888894
562 56.20358333333333 32.12606944444445
595 56.15474999999999 32.10292777777778
