# This target list is based on HST GLASS observations of M1149
# My program makes use of up to 4 MSA configurations. Thus,
# I expect to be able to observe up to 200 targets. A list of 817 
# targets is needed to make sure enough targets are available and
# optimally placed for any orientation. 
#
# The targets were selected on the basis of the following criteria:
# continuum observations: zphot > 2, 22 < m160 < 25.5
# emission lines : zphot > 3, m160> 25
#
# I plan to include at APT submission a filler list if necessary
# to make sure that no slitlets are left behind
#
# the columns are a target id, RA in HMS, Dec in DMS, photo-z, mag in F160W and mag error
#
#         id         RAh         RAm         RAs        DECd        DECm        DECs       zphot         mag        emag
#
         216          11          49       37.84          22          24       59.57       3.022       25.68     0.01895
         217          11          49       39.88          22          24       59.77       3.248       24.55    0.005873
         221          11          49       37.42          22          25       0.084        5.07       28.16      0.1221
         222          11          49       38.82          22          25       1.981       4.577       27.74     0.08833
         223          11          49       38.83          22          24       58.67       3.504       26.18     0.02936
         227          11          49       37.64          22          24       58.47        2.42       22.37    0.000963
         237          11          49       40.04          22          24       57.29       4.999       24.91      0.0182
         238          11          49          40          22          24       57.13       4.883       25.26     0.01988
         248          11          49       33.62          22          24       58.93       2.954       25.28      0.0964
         251          11          49       34.79          22          24       58.16       3.154       27.73      0.1396
         259          11          49        38.2          22          24       56.97        2.43       23.43    0.002178
         267          11          49       39.36          22          24       57.45       3.411       27.11     0.04863
         269          11          49       38.88          22          24       56.81       5.859       24.78    0.007928
         276          11          49       33.15          22          24       56.44       3.305       25.48     0.06223
         281          11          49       34.95          22          24       56.37       4.143       27.55      0.1238
         284          11          49       33.77          22          25      0.8508       5.241       25.84     0.07699
         288          11          49       39.07          22          24       55.95       3.156       28.37      0.1501
         294          11          49       34.63          22          24       49.38           4       26.83     0.05798
         295          11          49       34.54          22          24       50.26        2.36       22.32    0.001048
         301          11          49       35.14          22          24        54.8       3.406       27.03     0.04304
         302          11          49       39.05          22          24        54.9       3.622       28.21      0.1293
         313          11          49       36.66          22          24       52.62       5.392       27.26     0.07313
         320          11          49       38.87          22          24       54.02        4.03       28.34      0.1672
         325          11          49        38.9          22          24       53.66       4.507       27.44      0.1173
         328          11          49       35.25          22          24       53.54       4.963       28.22      0.1438
         331          11          49       33.08          22          24       51.83       4.049       26.75     0.05749
         332          11          49        33.2          22          24       52.37        2.11       24.34    0.009737
         337          11          49       33.39          22          24       53.01        3.93       27.52      0.1159
         338          11          49       35.62          22          24       53.02       4.395       28.16      0.1279
         344          11          49        37.3          22          24       52.09        3.72       28.71      0.1145
         345          11          49       37.29          22          24       51.55       2.205       25.28     0.01407
         350          11          49       38.24          22          24       52.64       5.407       28.04      0.1094
         356          11          49        38.5          22          24       51.22       3.684        27.1     0.07919
         357          11          49       38.53          22          24       49.83       4.119       26.46     0.06034
         358          11          49       38.37          22          24       43.37        3.43       25.56     0.03477
         363          11          49       38.31          22          24       45.44        2.57       25.31    0.006009
         364          11          49       38.34          22          24        45.1        2.57       24.09    0.004145
         383          11          49       39.54          22          24       49.35       2.499       25.09    0.009013
         385          11          49       33.79          22          24       49.27       4.255       26.76     0.05783
         391          11          49       37.52          22          24       50.93       4.287       27.98      0.1552
         399          11          49       31.21          22          24       50.16       4.013        25.6      0.1078
         400          11          49       35.96          22          24       49.68       4.434       26.66     0.05118
         401          11          49       35.91          22          24       49.12       3.355       28.44        0.15
         403          11          49       40.17          22          24       49.95       3.615       26.79      0.1362
         404          11          49       34.14          22          24       49.89       5.025       27.28     0.08783
         409          11          49       36.53          22          24       49.67       4.253       28.19      0.1209
         415          11          49        39.1          22          24       49.12       6.376       27.36     0.06039
         419          11          49       36.05          22          24       48.56       3.169       27.32     0.08813
         421          11          49       31.25          22          24       47.86        4.08       27.18     0.07243
         424          11          49       35.97          22          24       48.82        4.25       28.61      0.1802
         426          11          49       34.06          22          24       36.68       2.034       25.31     0.01972
         428          11          49        34.3          22          24       46.38       3.452       23.85     0.02431
         439          11          49        31.7          22          24       48.62       3.946       27.56      0.1329
         441          11          49       39.04          22          24       47.75       4.248        27.7     0.09266
         442          11          49        36.4          22          24       48.57        4.68       28.33      0.1395
         443          11          49       33.79          22          24       48.44       4.731       28.03      0.1417
         446          11          49       32.27          22          24       48.35       4.766       27.84     0.09635
         447          11          49       33.73          22          24       48.28       3.779       27.84      0.1087
         452          11          49       39.77          22          24       48.01       4.963       26.83     0.05245
         453          11          49       33.97          22          24       47.92       3.523       28.02      0.1373
         457          11          49       39.96          22          24       47.74       3.525       27.05     0.08043
         461          11          49       32.56          22          24       46.94       3.278       27.52     0.03652
         463          11          49       34.94          22          24       47.19       4.435       27.22     0.05173
         465          11          49       39.73          22          24       46.81         2.1       23.84    0.003002
         478          11          49       34.01          22          24       46.59       4.473       26.62     0.03241
         482          11          49       37.11          22          24       46.58       5.079       27.39     0.06798
         486          11          49       40.26          22          24       46.49       5.436       27.69      0.1349
         488          11          49       33.26          22          24       46.14       3.511        26.8     0.04828
         491          11          49       33.59          22          24       45.76       9.299       25.58     0.01385
         493          11          49       37.07          22          24       45.93       4.507       27.31     0.08554
         495          11          49       34.81          22          24       45.74         3.2       26.99     0.06114
         496          11          49       38.17          22          24       45.61        3.18       27.41     0.07878
         497          11          49       31.64          22          24       45.29       4.449       26.69      0.0361
         498          11          49        39.9          22          24       45.39       4.334       28.24      0.1463
         501          11          49       37.64          22          24       49.25       3.448       27.74     0.08949
         502          11          49       31.54          22          24       45.06       3.831       26.93     0.04454
         507          11          49       39.42          22          24       44.71       3.616       26.83     0.03729
         509          11          49       37.06          22          24       44.64       6.744        27.6     0.07174
         513          11          49       36.72          22          24       34.21        5.75       25.12     0.02947
         529          11          49       38.69          22          24          44       4.375       24.61    0.005891
         530          11          49       39.95          22          24       44.36       4.853       27.68      0.0844
         540          11          49       33.31          22          24       44.14       3.922       27.51     0.08798
         542          11          49       31.92          22          24       44.16       4.262       28.61      0.2221
         546          11          49       39.77          22          24       44.05       5.856       28.02      0.1212
         549          11          49       35.61          22          24       43.69        4.49       28.37      0.1436
         552          11          49       31.13          22          24       42.88       3.464       27.68     0.05368
         554          11          49       37.64          22          24       43.44       3.685       27.77     0.08367
         557          11          49       32.16          22          24       40.77       3.876       25.17     0.02974
         558          11          49       31.62          22          24       41.03       2.167        24.8    0.009703
         564          11          49        32.3          22          24       33.86       4.292       26.34     0.02318
         566          11          49       31.98          22          24       33.58       2.722       24.81    0.005401
         567          11          49          32          22          24       33.41       2.832       23.88    0.004287
         570          11          49       31.92          22          24       43.33       7.019       28.04      0.1127
         575          11          49       35.13          22          24       36.03       4.221       26.32     0.04809
         577          11          49        35.2          22          24       39.82       3.252       26.87     0.06472
         578          11          49       35.41          22          24       35.92       4.631       27.77     0.08139
         579          11          49        35.5          22          24        35.2       4.507       27.48     0.06477
         583          11          49       34.87          22          24       43.27       4.524       28.05      0.1539
         584          11          49       32.04          22          24       43.21       4.401       28.29      0.1379
         590          11          49       37.07          22          24       42.71       3.955       28.41      0.1566
         592          11          49       40.14          22          24       42.43       3.611        27.6      0.1728
         596          11          49       39.12          22          24       42.11       5.546       26.91     0.04409
         597          11          49       37.53          22          24       41.85       4.038       27.82      0.1026
         599          11          49       40.48          22          24       41.91       3.811       28.12       0.122
         600          11          49       38.75          22          24       41.77       5.139       27.72      0.1182
         604          11          49       33.68          22          24       41.57        3.78       26.62     0.06754
         606          11          49       37.91          22          24       41.47        6.28       27.21     0.07688
         629          11          49       39.75          22          24       39.98       4.691       27.49     0.07503
         630          11          49       40.19          22          24        40.1       3.877       28.22      0.1993
         635          11          49       32.44          22          24       39.69       3.406       26.79     0.04234
         638          11          49       39.82          22          24        39.2       3.891       26.42     0.02859
         642          11          49       40.28          22          24       39.13       4.232       28.43      0.2934
         643          11          49       40.91          22          24       38.88       4.064       26.27     0.03967
         644          11          49       38.82          22          24       38.76       3.849       26.67     0.03549
         646          11          49       38.72          22          24        38.2       2.469       25.18      0.0099
         648          11          49       40.65          22          24       38.51       4.162       27.57     0.07531
         652          11          49       38.18          22          24       38.55       3.668       28.31      0.1459
         657          11          49       37.38          22          24       38.08       4.412       26.65     0.04697
         663          11          49       37.68          22          24       37.98       3.952       27.55      0.0783
         664          11          49       40.89          22          24       37.93       4.557       27.63      0.1117
         665          11          49       38.96          22          24       38.02       4.043       28.01      0.1058
