#ID                             RA                DEC
UVUDF_223                53.1570223 -27.82477421
UVUDF_237                53.1561966 -27.82438954
UVUDF_248                53.1574202 -27.82420174
UVUDF_256                53.1567100 -27.82407245
UVUDF_263                53.1584600 -27.82392786
UVUDF_272                53.1568405 -27.82383640
UVUDF_274                53.1597276 -27.82376637
UVUDF_275                53.1572003 -27.82378702
UVUDF_276                53.1555379 -27.82369882
UVUDF_277                53.1572162 -27.82371202
UVUDF_280                53.1561093 -27.82374050
UVUDF_283                53.1562233 -27.82360416
UVUDF_299                53.1606183 -27.82344442
UVUDF_316                53.1584556 -27.82325631
UVUDF_327                53.1585241 -27.82303140
UVUDF_330                53.1550063 -27.82308560
UVUDF_336                53.1560993 -27.82292167
UVUDF_339                53.1587066 -27.82282471
UVUDF_340                53.1593701 -27.82282861
UVUDF_343                53.1564964 -27.82275846
UVUDF_344                53.1590220 -27.82282336
UVUDF_346                53.1578088 -27.82272968
UVUDF_347                53.1617330 -27.82274579
UVUDF_348                53.1609132 -27.82275488
UVUDF_349                53.1589971 -27.82274688
UVUDF_352                53.1564952 -27.82265827
UVUDF_363                53.1592512 -27.82250234
UVUDF_365                53.1621549 -27.82255088
UVUDF_366                53.1639191 -27.82255712
UVUDF_372                53.1560342 -27.82245066
UVUDF_375                53.1587201 -27.82247667
UVUDF_376                53.1597296 -27.82239470
UVUDF_377                53.1577960 -27.82242512
UVUDF_379                53.1563583 -27.82239731
UVUDF_381                53.1618846 -27.82240230
UVUDF_385                53.1629418 -27.82230231
UVUDF_388                53.1595486 -27.82228153
UVUDF_394                53.1545492 -27.82214439
UVUDF_398                53.1637445 -27.82214907
UVUDF_399                53.1552538 -27.82212481
UVUDF_400                53.1650921 -27.82213957
UVUDF_405                53.1582675 -27.82204587
UVUDF_407                53.1602869 -27.82204246
UVUDF_408                53.1575264 -27.82200302
UVUDF_409                53.1603218 -27.82200107
UVUDF_417                53.1549123 -27.82186303
UVUDF_421                53.1555214 -27.82184506
UVUDF_425                53.1583438 -27.82172768
UVUDF_428                53.1555464 -27.82170175
UVUDF_429                53.1662558 -27.82168702
UVUDF_430                53.1601949 -27.82164339
UVUDF_431                53.1534649 -27.82164426
UVUDF_432                53.1561882 -27.82162031
UVUDF_433                53.1524805 -27.82134357
UVUDF_435                53.1589280 -27.82134734
UVUDF_436                53.1603857 -27.82132826
UVUDF_438                53.1631583 -27.82148931
UVUDF_440                53.1621168 -27.82148050
UVUDF_441                53.1530328 -27.82147640
UVUDF_443                53.1603646 -27.82138900
UVUDF_444                53.1620292 -27.82143196
UVUDF_448                53.1537498 -27.82135213
UVUDF_451                53.1622596 -27.82129406
UVUDF_453                53.1666765 -27.82125636
UVUDF_455                53.1603243 -27.82124822
UVUDF_458                53.1598986 -27.82122805
UVUDF_462                53.1638218 -27.82117672
UVUDF_464                53.1634602 -27.82101956
UVUDF_466                53.1598768 -27.82108909
UVUDF_467                53.1660535 -27.82112012
UVUDF_469                53.1598993 -27.82090125
UVUDF_471                53.1651133 -27.82099277
UVUDF_473                53.1597806 -27.82098160
UVUDF_479                53.1540556 -27.82087128
UVUDF_481                53.1644533 -27.82096534
UVUDF_484                53.1642868 -27.82092280
UVUDF_487                53.1656238 -27.82086315
UVUDF_490                53.1622044 -27.82078823
