#ID                             RA                DEC
HST3D_10539              53.1217790 -27.86024700
HST3D_10559              53.0627750 -27.86017000
HST3D_10594              53.0610390 -27.86004100
HST3D_10631              53.1297390 -27.85980300
HST3D_10688              53.1085800 -27.85950800
HST3D_10801              53.0621660 -27.85905000
HST3D_10868              53.1124780 -27.85894400
HST3D_11043              53.0741330 -27.85817100
HST3D_11167              53.0571290 -27.85747200
HST3D_11178              53.1164630 -27.85766400
HST3D_11259              53.0674640 -27.85707900
HST3D_11290              53.1462630 -27.85703300
HST3D_11292              53.1076830 -27.85696000
HST3D_11344              53.1362930 -27.85680200
HST3D_11376              53.1306610 -27.85656300
HST3D_11400              53.0860100 -27.85642200
HST3D_11402              53.0745620 -27.85641900
HST3D_11452              53.1297940 -27.85666600
HST3D_11463              53.0531570 -27.85619600
HST3D_11483              53.1395160 -27.85608400
HST3D_11534              53.1277460 -27.85601900
HST3D_11548              53.1081390 -27.85580200
HST3D_11560              53.1287560 -27.85582500
HST3D_11563              53.1474230 -27.85572300
HST3D_11679              53.0799700 -27.85565900
HST3D_11728              53.1235020 -27.85512700
HST3D_11745              53.0915990 -27.85506500
HST3D_11746              53.0711680 -27.85505500
HST3D_11803              53.1294850 -27.85495100
HST3D_11844              53.1185420 -27.85474800
HST3D_11858              53.0838280 -27.85469200
HST3D_11861              53.1305210 -27.85467400
HST3D_11908              53.0762540 -27.85445800
HST3D_11918              53.0769030 -27.85446600
HST3D_11934              53.0941420 -27.85499700
HST3D_11941              53.0844830 -27.85434000
HST3D_11953              53.1199790 -27.85453600
HST3D_12023              53.0817280 -27.85394300
HST3D_12044              53.1455800 -27.85385900
HST3D_12061              53.1030120 -27.85378600
HST3D_12140              53.1188780 -27.85347200
HST3D_12145              53.0747110 -27.85353000
HST3D_12172              53.1438030 -27.85332500
HST3D_12328              53.0817570 -27.85265200
HST3D_12353              53.0965930 -27.85256000
HST3D_12373              53.1479440 -27.85253000
HST3D_12443              53.0700520 -27.85221900
HST3D_12446              53.0514930 -27.85282800
HST3D_12464              53.1081110 -27.85216100
HST3D_12518              53.0710010 -27.85186300
HST3D_12536              53.1239300 -27.85235900
HST3D_12584              53.0868990 -27.85166700
HST3D_12620              53.1157510 -27.85156700
HST3D_12632              53.0986560 -27.85153300
HST3D_12723              53.1155990 -27.85110600
HST3D_12820              53.0915640 -27.85085400
HST3D_12853              53.1083910 -27.85063800
HST3D_12859              53.1103960 -27.85062100
HST3D_12923              53.0785220 -27.85034600
HST3D_13015              53.0545540 -27.85007200
HST3D_13025              53.0777700 -27.85010500
HST3D_13086              53.0529440 -27.84965600
HST3D_13096              53.1022490 -27.84963200
HST3D_13123              53.0818330 -27.84953200
HST3D_13139              53.1151350 -27.84990800
HST3D_13149              53.0527910 -27.84942000
HST3D_13218              53.0593140 -27.84910800
HST3D_13306              53.1195380 -27.84882000
HST3D_13309              53.0662600 -27.84905200
HST3D_13315              53.1421720 -27.84879500
HST3D_13349              53.0635600 -27.84866200
HST3D_13385              53.0867200 -27.84843900
HST3D_13466              53.1060080 -27.84815300
HST3D_13525              53.1061540 -27.84795200
HST3D_13548              53.0916270 -27.84784600
HST3D_13558              53.0867510 -27.84781500
HST3D_13599              53.0796110 -27.84769400
HST3D_13611              53.0907660 -27.84785800
HST3D_13676              53.1144420 -27.84734200
HST3D_13787              53.1381860 -27.84687300
HST3D_13831              53.1307860 -27.84681500
HST3D_13877              53.0980520 -27.84709000
HST3D_13883              53.0589140 -27.84642900
HST3D_13887              53.0818150 -27.84641900
HST3D_13892              53.0916970 -27.84639000
HST3D_13966              53.0745550 -27.84725800
HST3D_13996              53.0933160 -27.84590900
HST3D_14001              53.0601550 -27.84588700
HST3D_14121              53.0677020 -27.84542300
HST3D_14124              53.1279710 -27.84542000
HST3D_14135              53.1282800 -27.84566900
HST3D_14203              53.0729470 -27.84503900
HST3D_14286              53.1250810 -27.84481600
HST3D_14291              53.1003270 -27.84485800
HST3D_14314              53.0770950 -27.84458100
HST3D_14334              53.0479630 -27.84451700
HST3D_14415              53.0966710 -27.84420300
HST3D_14423              53.0589720 -27.84420300
HST3D_14497              53.0585210 -27.84386900
HST3D_14552              53.1105760 -27.84357000
HST3D_14579              53.0868870 -27.84413800
HST3D_14597              53.0804470 -27.84365500
HST3D_14673              53.1307140 -27.84298300
HST3D_14687              53.1137580 -27.84353300
HST3D_14723              53.0619040 -27.84272800
HST3D_14765              53.0719320 -27.84252000
HST3D_14924              53.1006390 -27.84202300
HST3D_15059              53.0909450 -27.84135800
HST3D_15089              53.0468700 -27.84121400
HST3D_15162              53.0902550 -27.84095900
HST3D_15206              53.1283030 -27.84089800
HST3D_15224              53.1141030 -27.84073000
