#ID                             RA                DEC
HST3D_194                189.1248070  62.10735100
HST3D_236                189.1354750  62.10871800
HST3D_333                189.1214680  62.11067000
HST3D_356                189.1393370  62.11124400
HST3D_374                189.1413020  62.11170800
HST3D_419                189.1475300  62.11250900
HST3D_718                189.1065160  62.11849000
HST3D_773                189.1523410  62.11981100
HST3D_919                189.1272020  62.12261200
HST3D_1167               189.1183480  62.12730100
HST3D_1188               189.1023990  62.12763000
HST3D_1211               189.0843930  62.12802100
HST3D_1229               189.1550370  62.12826200
HST3D_1261               189.1467790  62.12863300
HST3D_1269               189.1400910  62.12872100
HST3D_1310               189.1452080  62.12982000
HST3D_1368               189.1628110  62.13036700
HST3D_1671               189.0724230  62.13428100
HST3D_1742               189.1625250  62.13523500
HST3D_1871               189.0910640  62.13729200
HST3D_1872               189.0772850  62.13729900
HST3D_2002               189.1065990  62.13873000
HST3D_2104               189.0467550  62.13975200
HST3D_2172               189.1116940  62.14038000
HST3D_2278               189.0864460  62.14152400
HST3D_2290               189.1259890  62.14182300
HST3D_2319               189.0797120  62.14188300
HST3D_2487               189.0790680  62.14355800
HST3D_2522               189.0648290  62.14396400
HST3D_2544               189.0327590  62.14397400
HST3D_2563               189.0806810  62.14421000
HST3D_2568               189.0738010  62.14427100
HST3D_2604               189.0357950  62.14460600
HST3D_2847               189.0800530  62.14650200
HST3D_2961               189.1464660  62.14743800
HST3D_2974               189.1177050  62.14748600
HST3D_3032               189.0740920  62.14785200
HST3D_3159               189.1363800  62.14901700
HST3D_3202               189.0224790  62.14916900
HST3D_3229               189.0862720  62.14942100
HST3D_3276               189.1083150  62.15008600
HST3D_3280               189.0893530  62.14980600
HST3D_3296               189.0621350  62.14991400
HST3D_3316               189.1089280  62.15034000
HST3D_3328               189.0692310  62.15018700
HST3D_3358               189.1080030  62.15100600
HST3D_3363               189.1168090  62.15050700
HST3D_3433               189.1115980  62.15110000
HST3D_3434               189.0960060  62.15100900
HST3D_3512               189.1555500  62.15161500
HST3D_3535               189.0673620  62.15174900
HST3D_3560               189.0554150  62.15195400
HST3D_3583               189.1176220  62.15217900
HST3D_3591               189.1055200  62.15267700
HST3D_3652               189.0495180  62.15291700
HST3D_3726               189.0099540  62.15315700
HST3D_3753               189.0951120  62.15355700
