Object name, SDSS J  	& R.A. (J2000) & Decl (J2000) \\
\hline
J000610.67+121501.2 &     00:06:10.6778 & +12:15:01.274 \\
J000746.19+122223.9 &  00:07:46.1978 & 12:22:23.934    \\
J005233.24-055653.5 &  00:52:33.24 & -05:56:53.5     \\
J014111.13-031852.5 &     01:41:11.1369 & -03:18:52.567 \\
J082653.42+054247.3 &  08:26:53.4301 & 05:42:47.328  \\
J083200.20+161500.3 & 08:32:00.2000 & +16:15:00.300 \\
J083448.48+015921.1 &  08:34:48.4836 & 01:59:21.159    \\
J113721.46+142728.8 &     11:37:21.4663 & +14:27:28.879 \\
J121704.70+023417.1 & 12:17:04.7013 & +02:34:17.151 \\
J123241.73+091209.3 &  12:32:41.7381 & 09:12:09.381    \\
J130654.76+132704.8 &   13:06:54.7634 & 13:27:04.874 \\
J131628.32+045316.2 &  13:16:28.3267 & 04:53:16.252 \\
J134026.99+083427.2 &  13:40:26.9956 & 08:34:27.282 \\
J134254.45+093059.3 &  13:42:54.4591 & 09:30:59.396  \\  
J134800.13-025006.4 &  13:48:00.1370 & -02:50:06.482   \\
J134254.45+093059.3 &     13:42:54.4591 & +09:30:59.396  \\
J135608.32+073017.2 & 13:56:08.3200 & +07:30:17.200 \\
J162518.66+144509.9 &     16:25:18.6600 & +14:45:09.900 \\
J215855.10-014717.9 &     21:58:55.1028& -01:47:17.973 \\
J221524.00-005643.8 &  22:15:24.0000 & -00:56:43.800   \\
J222307.12+085701.7 & 22:23:07.1253 & +08:57:01.735 \\
J232326.17-010033.1 &  23:23:26.1740& -01:00:33.128\\
 























